,nom,heure,date,etablissement,prix,adresse,commune,geo,Type activite,arrondissement
106,Sirocco et le Royaume des courants d’air,10:10,ajd,UGC CINE CITE LES HALLES,variable,101 RUE BERGER,Paris 1er Arrondissement,"48.861424,2.345829",Cinema,
107,Sirocco et le Royaume des courants d’air,12:15,ajd,UGC CINE CITE LES HALLES,variable,101 RUE BERGER,Paris 1er Arrondissement,"48.861424,2.345829",Cinema,
108,Sirocco et le Royaume des courants d’air,14:20,ajd,UGC CINE CITE LES HALLES,variable,101 RUE BERGER,Paris 1er Arrondissement,"48.861424,2.345829",Cinema,
109,Le Grand magasin,10:30,ajd,UGC CINE CITE LES HALLES,variable,101 RUE BERGER,Paris 1er Arrondissement,"48.861424,2.345829",Cinema,
110,Winter Break,09:15,ajd,UGC CINE CITE LES HALLES,variable,101 RUE BERGER,Paris 1er Arrondissement,"48.861424,2.345829",Cinema,
111,Winter Break,12:05,ajd,UGC CINE CITE LES HALLES,variable,101 RUE BERGER,Paris 1er Arrondissement,"48.861424,2.345829",Cinema,
112,Winter Break,14:55,ajd,UGC CINE CITE LES HALLES,variable,101 RUE BERGER,Paris 1er Arrondissement,"48.861424,2.345829",Cinema,
113,Winter Break,17:50,ajd,UGC CINE CITE LES HALLES,variable,101 RUE BERGER,Paris 1er Arrondissement,"48.861424,2.345829",Cinema,
114,Winter Break,20:45,ajd,UGC CINE CITE LES HALLES,variable,101 RUE BERGER,Paris 1er Arrondissement,"48.861424,2.345829",Cinema,
115,Le Garçon et le héron,10:45,ajd,UGC CINE CITE LES HALLES,variable,101 RUE BERGER,Paris 1er Arrondissement,"48.861424,2.345829",Cinema,
116,Le Garçon et le héron,13:30,ajd,UGC CINE CITE LES HALLES,variable,101 RUE BERGER,Paris 1er Arrondissement,"48.861424,2.345829",Cinema,
117,Le Garçon et le héron,16:15,ajd,UGC CINE CITE LES HALLES,variable,101 RUE BERGER,Paris 1er Arrondissement,"48.861424,2.345829",Cinema,
118,Le Garçon et le héron,19:00,ajd,UGC CINE CITE LES HALLES,variable,101 RUE BERGER,Paris 1er Arrondissement,"48.861424,2.345829",Cinema,
119,Le Garçon et le héron,21:45,ajd,UGC CINE CITE LES HALLES,variable,101 RUE BERGER,Paris 1er Arrondissement,"48.861424,2.345829",Cinema,
120,Voyage au pôle sud,09:15,ajd,UGC CINE CITE LES HALLES,variable,101 RUE BERGER,Paris 1er Arrondissement,"48.861424,2.345829",Cinema,
121,Voyage au pôle sud,11:15,ajd,UGC CINE CITE LES HALLES,variable,101 RUE BERGER,Paris 1er Arrondissement,"48.861424,2.345829",Cinema,
122,Voyage au pôle sud,13:20,ajd,UGC CINE CITE LES HALLES,variable,101 RUE BERGER,Paris 1er Arrondissement,"48.861424,2.345829",Cinema,
123,Voyage au pôle sud,15:25,ajd,UGC CINE CITE LES HALLES,variable,101 RUE BERGER,Paris 1er Arrondissement,"48.861424,2.345829",Cinema,
124,Voyage au pôle sud,17:30,ajd,UGC CINE CITE LES HALLES,variable,101 RUE BERGER,Paris 1er Arrondissement,"48.861424,2.345829",Cinema,
125,Voyage au pôle sud,19:35,ajd,UGC CINE CITE LES HALLES,variable,101 RUE BERGER,Paris 1er Arrondissement,"48.861424,2.345829",Cinema,
126,Voyage au pôle sud,21:35,ajd,UGC CINE CITE LES HALLES,variable,101 RUE BERGER,Paris 1er Arrondissement,"48.861424,2.345829",Cinema,
127,Past Lives – Nos vies d’avant,09:45,ajd,UGC CINE CITE LES HALLES,variable,101 RUE BERGER,Paris 1er Arrondissement,"48.861424,2.345829",Cinema,
128,Past Lives – Nos vies d’avant,12:10,ajd,UGC CINE CITE LES HALLES,variable,101 RUE BERGER,Paris 1er Arrondissement,"48.861424,2.345829",Cinema,
129,Past Lives – Nos vies d’avant,14:35,ajd,UGC CINE CITE LES HALLES,variable,101 RUE BERGER,Paris 1er Arrondissement,"48.861424,2.345829",Cinema,
130,Past Lives – Nos vies d’avant,17:00,ajd,UGC CINE CITE LES HALLES,variable,101 RUE BERGER,Paris 1er Arrondissement,"48.861424,2.345829",Cinema,
131,Past Lives – Nos vies d’avant,19:35,ajd,UGC CINE CITE LES HALLES,variable,101 RUE BERGER,Paris 1er Arrondissement,"48.861424,2.345829",Cinema,
132,Past Lives – Nos vies d’avant,22:00,ajd,UGC CINE CITE LES HALLES,variable,101 RUE BERGER,Paris 1er Arrondissement,"48.861424,2.345829",Cinema,
133,Une équipe de rêve,09:20,ajd,UGC CINE CITE LES HALLES,variable,101 RUE BERGER,Paris 1er Arrondissement,"48.861424,2.345829",Cinema,
134,Une équipe de rêve,11:45,ajd,UGC CINE CITE LES HALLES,variable,101 RUE BERGER,Paris 1er Arrondissement,"48.861424,2.345829",Cinema,
135,Une équipe de rêve,14:10,ajd,UGC CINE CITE LES HALLES,variable,101 RUE BERGER,Paris 1er Arrondissement,"48.861424,2.345829",Cinema,
136,Une équipe de rêve,16:35,ajd,UGC CINE CITE LES HALLES,variable,101 RUE BERGER,Paris 1er Arrondissement,"48.861424,2.345829",Cinema,
