nom,etablissement,Date,adresse,commune,prix,coordonnees,prix min,prix max,prix unique,prix moyen,date datetime,heure
Elio di Tanna,Église Saint-Éphrem,Jeudi 25 Janvier  19h30,"17 rue des Carmes, Paris, France",Paris 5e,16-25 €,"(2.347335, 48.848424)",16.0,25.0,,20.5,2024-01-25 19:30:00,19h30
Thomas Enhco et Vassilena Serafimova,Théâtre de l'Œuvre,Jeudi 25 Janvier  20h00,"55 rue de Clichy, Paris, France",Paris 9e,unknown,"(2.305376, 48.899318)",,,unknown,unknown,2024-01-25 20:00:00,20h00
Cyrille Dubois et Tristan Raës,Amphithéâtre - Cité de la Musique-Philharmonie,Jeudi 25 Janvier  20h00,"221 avenue Jean-Jaurès, Paris, France",Paris 19e,unknown,"(2.393824, 48.889311)",,,unknown,unknown,2024-01-25 20:00:00,20h00
David Lively et Busoni,Cathédrale Saint-Louis-des-Invalides - Hôtel National des Invalides,Jeudi 25 Janvier  20h00,"129 rue de Grenelle Hôtel National des Invalides, Paris, France",Paris 7e,unknown,"(2.312894, 48.85819)",,,unknown,unknown,2024-01-25 20:00:00,20h00
Orchestre philharmonique de Radio France et Renaud Capuçon,Grande salle Pierre Boulez - Philharmonie de Paris,Vendredi 26 Janvier  20h00,"221 avenue Jean-Jaurès, Paris, France",Paris 19e,unknown,"(2.393824, 48.889311)",,,unknown,unknown,2024-01-26 20:00:00,20h00
"Mathieu Salama, Bruno Angé et Olivier Pelmoine",Espace Jules Vallès,Vendredi 26 Janvier  20h00,"72 avenue Félix Faure, Paris, France",Paris 15e,unknown,"(2.285064, 48.840074)",,,unknown,unknown,2024-01-26 20:00:00,20h00
Maîtres de Notre-Dame,Auditorium Michel Laclotte - Musée du Louvre,Vendredi 26 Janvier  20h00,"Entrée principale : Pyramide (cour Napoléon), Paris, France",Paris 1er,unknown,"(2.445701, 48.83407)",,,unknown,unknown,2024-01-26 20:00:00,20h00
Martin Beau,Église Saint-Éphrem,Vendredi 26 Janvier  20h00,"17 rue des Carmes, Paris, France",Paris 5e,16-25 €,"(2.347335, 48.848424)",16.0,25.0,,20.5,2024-01-26 20:00:00,20h00
Orchestre Hélios et Glen Rouxel,Église de la Madeleine,Vendredi 26 Janvier  20h45,"Place de la Madeleine, Paris, France",Paris 8e,22-44 €,"(2.324455, 48.870062)",22.0,44.0,,33.0,2024-01-26 20:45:00,20h45
Secret d'instrument,Musée de la Musique - Cité de la Musique-Philharmonie,Samedi 27 Janvier  15h30,"221 avenue Jean-Jaurès, Paris, France",Paris 19e,unknown,"(2.393824, 48.889311)",,,unknown,unknown,2024-01-27 15:30:00,15h30
Antonin Bonnet et Krzysztof Michalski,Église Saint-Éphrem,Samedi 27 Janvier  16h00,"17 rue des Carmes, Paris, France",Paris 5e,16-25 €,"(2.347335, 48.848424)",16.0,25.0,,20.5,2024-01-27 16:00:00,16h00
Ensemble Beata Musica,Église Sainte-Rosalie,Samedi 27 Janvier  16h00,"50 boulevard Auguste-Blanqui, Paris, France",Paris 13e,unknown,"(2.349777, 48.829932)",,,unknown,unknown,2024-01-27 16:00:00,16h00
Pelléas etc.,Salle des concerts - Cité de la Musique-Philharmonie,Samedi 27 Janvier  20h00,"221 rue Jean-Jaurès, Paris, France",Paris 19e,unknown,"(2.393824, 48.889311)",,,unknown,unknown,2024-01-27 20:00:00,20h00
Pelléas etc.,Salle des concerts - Cité de la Musique-Philharmonie, Dimanche 28 Janvier  16h00,"221 rue Jean-Jaurès, Paris, France",Paris 19e,unknown,"(2.393824, 48.889311)",,,unknown,unknown,2024-01-28 16:00:00,16h00
Quatuor Strada et Simon Zaoui,Le Studio - Philharmonie de Paris,Samedi 27 Janvier  20h00,"221 avenue Jean-Jaurès, Paris, France",Paris 19e,unknown,"(2.393824, 48.889311)",,,unknown,unknown,2024-01-27 20:00:00,20h00
Orchestre Les Violons de France et Cécile Besnard,Église de la Madeleine,Samedi 27 Janvier  20h00,"Place de la Madeleine, Paris, France",Paris 8e,22-33 €,"(2.324455, 48.870062)",22.0,33.0,,27.5,2024-01-27 20:00:00,20h00
L'invitation au voyage,Archives nationales,Samedi 27 Janvier  20h00,"60 rue des Francs-Bourgeois Hôtel de Soubise, Paris, France",Paris 3e,unknown,"(2.357272, 48.859963)",,,unknown,unknown,2024-01-27 20:00:00,20h00
"Joseph Pernoo, Claire Thirion et Karine Sélo",L'Accord Parfait,Samedi 27 Janvier  20h00,"47 rue Ramey, Paris, France",Paris 18e,unknown,"(2.345913, 48.889739)",,,unknown,unknown,2024-01-27 20:00:00,20h00
Orchestre Paris Classik et Bertrand Cervera,Église Saint-Germain-des-Prés,Samedi 27 Janvier  20h30,"Place Saint-Germain des Prés, Paris, France",Paris 6e,unknown,"(2.333399, 48.854182)",,,unknown,unknown,2024-01-27 20:30:00,20h30
Ensemble vocal Largentière,Église Saint-Jean-Baptiste,Samedi 27 Janvier  20h30,"1 rue du Docteur Berger, Paris, France",Sceaux,unknown,"(2.295751, 48.776744)",,,unknown,unknown,2024-01-27 20:30:00,20h30
Orchestre Hélios et Glen Rouxel,Église Saint-Louis-en-l'Île,Sam 27 Janvier  20h45,"19 bis rue Saint-Louis-en-l'Île, Paris, France",Paris 4e,22-44 €,"(2.357978, 48.85127)",22.0,44.0,,33.0,2024-01-27 20:45:00,20h45
"Joseph Pernoo, Vincent Penot, Claire Thirion et Karine Sélo",L'Accord Parfait,Dimanche 28 Janvier  11h00,"47 rue Ramey, Paris, France",Paris 18e,unknown,"(2.345913, 48.889739)",,,unknown,unknown,2024-01-28 11:00:00,11h00
Une après-midi avec Fauré,Musée de la Musique - Cité de la Musique-Philharmonie,Dimanche 28 Janvier  14h30,"221 avenue Jean-Jaurès, Paris, France",Paris 19e,unknown,"(2.393824, 48.889311)",,,unknown,unknown,2024-01-28 14:30:00,14h30
Jules Hemmi,Cathédrale américaine,Dimanche 28 Janvier  15h00,"23 avenue George V, Paris, France",Paris 8e,unknown,"(2.300939, 48.867508)",,,unknown,unknown,2024-01-28 15:00:00,15h00
Concert inaugural - 1873,Salle Gaveau,Dimanche 28 Janvier  16h00,"45 rue La Boétie, Paris, France",Paris 8e,unknown,"(2.314195, 48.873528)",,,unknown,unknown,2024-01-28 16:00:00,16h00
Nour Ayadi,La Scala Paris,Dimanche 28 Janvier  16h00,"13 boulevard de Strasbourg, Paris, France",Paris 10e,unknown,"(2.354572, 48.870299)",,,unknown,unknown,2024-01-28 16:00:00,16h00
Ensemble vocal Largentière,Église Saint-Jacques-du-Haut-Pas,Dimanche 28 Janvier  16h00,"252 rue Saint-Jacques, Paris, France",Paris 5e,unknown,"(2.341585, 48.843688)",,,unknown,unknown,2024-01-28 16:00:00,16h00
Chœur de Grenelle,Église Saint-Ferdinand-des-Ternes,Dimanche 28 Janvier  16h00,"25 rue d'Armaillé, Paris, France",Paris 17e,unknown,"(2.291056, 48.878665)",,,unknown,unknown,2024-01-28 16:00:00,16h00
Le Madrigal de Suresnes,Église Notre-Dame-de-Compassion,Dimanche 28 Janvier  16h30,"Place du Général-Koenig, Paris, France",Paris 17e,unknown,"(2.284212, 48.881029)",,,unknown,unknown,2024-01-28 16:30:00,16h30
Evgeny Kissin,Théâtre des Champs-Élysées,Dimanche 28 Janvier  17h00,"15 avenue Montaigne, Paris, France",Paris 8e,unknown,"(2.303279, 48.865672)",,,unknown,unknown,2024-01-28 17:00:00,17h00
Remi Masunaga,Église Saint-Éphrem,Dimanche 28 Janvier  17h00,"17 rue des Carmes, Paris, France",Paris 5e,16-25 €,"(2.347335, 48.848424)",16.0,25.0,,20.5,2024-01-28 17:00:00,17h00
Baptiste-Florian Marle-Ouvrard,Église Saint-Eustache,Dimanche 28 Janvier  17h00,"Rue du Jour Forum des Halles, Paris, France",Paris 1er,unknown,"(2.346648, 48.859801)",,,unknown,unknown,2024-01-28 17:00:00,17h00
Alice Ferrière et Nicolas Royez,Fondation de l'Allemagne – Maison Heinrich Heine - Cité Internationale Universitaire,Dim 28 Janvier  17h00,"27 boulevard Jourdan, Paris, France",Paris 14e,unknown,"(2.337324, 48.820425)",,,unknown,unknown,2024-01-28 17:00:00,17h00
Alexandra Bartfeld,Église Saint-Pierre de Montmartre,Dimanche 28 Janvier  18h00,"2 rue du Mont-Cenis, Paris, France",Paris 18e,unknown,"(2.341507, 48.886708)",,,unknown,unknown,2024-01-28 18:00:00,18h00
« Les Soldats » de Zimmermann,Grande salle Pierre Boulez - Philharmonie de Paris,Dimanche 28 Janvier  19h00,"221 avenue Jean-Jaurès, Paris, France",Paris 19e,unknown,"(2.393824, 48.889311)",,,unknown,unknown,2024-01-28 19:00:00,19h00
Loann Fourmental,Église Saint-Éphrem,Lundi 29 Janvier  19h30,"17 rue des Carmes, Paris, France",Paris 5e,16-25 €,"(2.347335, 48.848424)",16.0,25.0,,20.5,2024-01-29 19:30:00,19h30
Les trois contre-ténors,Opéra royal - Château de Versailles,Lundi 29 Janvier  20h00,"Place d'Armes entrée par la Grille d'Honneur, Paris, France",Versailles,unknown,"(2.352558, 48.881934)",,,unknown,unknown,2024-01-29 20:00:00,20h00
Quatuor Cambini et Judith van Wanroij,Grand Salon du Musée de l'Armée - Musée de l'Armée,Lundi 29 Janvier  20h00,"129 rue de Grenelle, Paris, France",Paris 7e,unknown,"(2.312894, 48.85819)",,,unknown,unknown,2024-01-29 20:00:00,20h00
Jenny Daviet et Alphonse Cemin,Athénée Théâtre Louis-Jouvet,Lundi 29 Janvier  20h00,"7 rue Boudreau Square de l'Opéra Louis-Jouvet, Paris, France",Paris 9e,24-31 €,"(2.329072, 48.87183)",24.0,31.0,,27.5,2024-01-29 20:00:00,20h00
Yusif Eyvazov et Murad Adigezalzade,Salle Gaveau,Lundi 29 Janvier  20h30,"45 rue La Boétie, Paris, France",Paris 8e,unknown,"(2.314195, 48.873528)",,,unknown,unknown,2024-01-29 20:30:00,20h30
Haendel : Aggripine,Auditorium Patrick Devedjian - La Seine Musicale,Mardi 30 Janvier  19h30,"1 île Seguin, Paris, France",Boulogne-Billancourt,unknown,"(2.365269, 48.891683)",,,unknown,unknown,2024-01-30 19:30:00,19h30
« Alceste » de Lully,Opéra royal - Château de Versailles,Mardi 30 Janvier  20h00,"Place d'Armes entrée par la Grille d'Honneur, Paris, France",Versailles,71-115 €,"(2.352558, 48.881934)",71.0,115.0,,93.0,2024-01-30 20:00:00,20h00
Valérie Aimard,Collège des Bernardins,Mercredi 31 Janvier  12h30,"20 rue de Poissy, Paris, France",Paris 5e,unknown,"(2.352281, 48.848859)",,,unknown,unknown,2024-01-31 12:30:00,12h30
Martin Beau,Église Saint-Éphrem,Mercredi 31 Janvier  19h30,"17 rue des Carmes, Paris, France",Paris 5e,16-25 €,"(2.347335, 48.848424)",16.0,25.0,,20.5,2024-01-31 19:30:00,19h30
"Sunwook Kim, Clara-Jumi Kang et Edgar Moreau",Théâtre des Champs-Élysées,Mercredi 31 Janvier  20h00,"15 avenue Montaigne, Paris, France",Paris 8e,26-70 €,"(2.303279, 48.865672)",26.0,70.0,,48.0,2024-01-31 20:00:00,20h00
Orchestre de Paris,Grande salle Pierre Boulez - Philharmonie de Paris,Mercredi 31 Janvier  20h00,"221 avenue Jean-Jaurès, Paris, France",Paris 19e,unknown,"(2.393824, 48.889311)",,,unknown,unknown,2024-01-31 20:00:00,20h00
Orchestre de Paris,Grande salle Pierre Boulez - Philharmonie de Paris, Jeudi 1er Février  20h00,"221 avenue Jean-Jaurès, Paris, France",Paris 19e,unknown,"(2.393824, 48.889311)",,,unknown,unknown,2024-02-01 20:00:00,20h00
Teva Mazoyer,Église Saint-Éphrem,Jeudi 1er Février  17h30,"17 rue des Carmes, Paris, France",Paris 5e,16-25 €,"(2.347335, 48.848424)",16.0,25.0,,20.5,2024-02-01 17:30:00,17h30
Teva Mazoyer,Église Saint-Éphrem, Mardi 6 Février  18h00,"17 rue des Carmes, Paris, France",Paris 5e,16-25 €,"(2.347335, 48.848424)",16.0,25.0,,20.5,2024-02-06 18:00:00,18h00
« Alceste » de Lully,Théâtre des Champs-Élysées,Jeudi 1er Février  19h30,"15 avenue Montaigne, Paris, France",Paris 8e,28-89 €,"(2.303279, 48.865672)",28.0,89.0,,58.5,2024-02-01 19:30:00,19h30
Beethoven : Symphonie n°7,Maison de la Radio et de la Musique,Jeudi 1er Février  20h00,"116 avenue du Président Kennedy, Paris, France",Paris 16e,unknown,"(2.279529, 48.852149)",,,unknown,unknown,2024-02-01 20:00:00,20h00
Batailles et bruits de guerre,Cathédrale Saint-Louis-des-Invalides - Hôtel National des Invalides,Jeudi 1er Février  20h00,"129 rue de Grenelle Hôtel National des Invalides, Paris, France",Paris 7e,unknown,"(2.312894, 48.85819)",,,unknown,unknown,2024-02-01 20:00:00,20h00
Gershwin : Rhapsody in Blue,Auditorium Patrick Devedjian - La Seine Musicale,Jeudi 1er Février  20h30,"1 île Seguin, Paris, France",Boulogne-Billancourt,unknown,"(2.365269, 48.891683)",,,unknown,unknown,2024-02-01 20:30:00,20h30
Adrien Polycarpe,Église Saint-Éphrem,Vendredi 2 Février  19h00,"17 rue des Carmes, Paris, France",Paris 5e,16-25 €,"(2.347335, 48.848424)",16.0,25.0,,20.5,2024-02-02 19:00:00,19h00
« Rinaldo » de Haendel,Théâtre des Champs-Élysées,Vendredi 2 Février  19h30,"15 avenue Montaigne, Paris, France",Paris 8e,28-61 €,"(2.303279, 48.865672)",28.0,61.0,,44.5,2024-02-02 19:30:00,19h30
Brahms : Un Requiem allemand,Grande salle Pierre Boulez - Philharmonie de Paris,Vendredi 2 Février  20h00,"221 avenue Jean-Jaurès, Paris, France",Paris 19e,unknown,"(2.393824, 48.889311)",,,unknown,unknown,2024-02-02 20:00:00,20h00
Orchestre Hélios et Glen Rouxel,Église Saint-Germain-des-Prés,Vendredi 2 Février  20h45,"Place Saint-Germain des Prés, Paris, France",Paris 6e,22-44 €,"(2.333399, 48.854182)",22.0,44.0,,33.0,2024-02-02 20:45:00,20h45
Pascal Mantin,Église Saint-Éphrem,Samedi 3 Février  16h30,"17 rue des Carmes, Paris, France",Paris 5e,16-25 €,"(2.347335, 48.848424)",16.0,25.0,,20.5,2024-02-03 16:30:00,16h30
Singin' in the Rain,Amphithéâtre - Cité de la Musique-Philharmonie,Samedi 3 Février  18h00,"221 avenue Jean-Jaurès, Paris, France",Paris 19e,unknown,"(2.393824, 48.889311)",,,unknown,unknown,2024-02-03 18:00:00,18h00
Vous trouvez ça classique ? Concerto pour piano n°2 de Rachmaninov,Auditorium Patrick Devedjian - La Seine Musicale,Samedi 3 Février  19h00,"1 île Seguin, Paris, France",Boulogne-Billancourt,unknown,"(2.365269, 48.891683)",,,unknown,unknown,2024-02-03 19:00:00,19h00
Le violon de Beethoven,Opéra de Massy,Samedi 3 Février  20h00,"1 place de France, Paris, France",Massy,unknown,"(2.387787, 48.831852)",,,unknown,unknown,2024-02-03 20:00:00,20h00
Orchestre Les Violons de France et Cécile Besnard,Église de la Madeleine,Samedi 3 Février  20h00,"Place de la Madeleine, Paris, France",Paris 8e,22-33 €,"(2.324455, 48.870062)",22.0,33.0,,27.5,2024-02-03 20:00:00,20h00
Les frères Haydn,Église Saint-Roch,Samedi 3 Février  20h30,"296 rue Saint-Honoré, Paris, France",Paris 1er,unknown,"(2.332239, 48.864954)",,,unknown,unknown,2024-02-03 20:30:00,20h30
Les frères Haydn,Église Saint-Roch, Dimanche 4 Février  15h00,"296 rue Saint-Honoré, Paris, France",Paris 1er,unknown,"(2.332239, 48.864954)",,,unknown,unknown,2024-02-04 15:00:00,15h00
Orchestre Hélios et Glen Rouxel,Église Saint-Germain-des-Prés,Samedi 3 Février  20h45,"Place Saint-Germain des Prés, Paris, France",Paris 6e,22-44 €,"(2.333399, 48.854182)",22.0,44.0,,33.0,2024-02-03 20:45:00,20h45
« Didon et Énée » de Purcell,Théâtre des Champs-Élysées,Dimanche 4 Février  11h00,"15 avenue Montaigne, Paris, France",Paris 8e,16-28 €,"(2.303279, 48.865672)",16.0,28.0,,22.0,2024-02-04 11:00:00,11h00
Ludwig m'a chanté,Théâtre de l'Aquarium - Cartoucherie,Dimanche 4 Février  15h00,"route du Champ de Manœuvre (navette cartoucherie gratuite), Paris, France",Paris 12e,13-24 €,"(2.450645, 48.835062)",13.0,24.0,,18.5,2024-02-04 15:00:00,15h00
Jorge Garcia Herranz,Cathédrale américaine,Dimanche 4 Février  15h00,"23 avenue George V, Paris, France",Paris 8e,unknown,"(2.300939, 48.867508)",,,unknown,unknown,2024-02-04 15:00:00,15h00
Haydn : Les Sept Dernières Paroles du Christ en Croix,Grande salle Pierre Boulez - Philharmonie de Paris,Dimanche 4 Février  16h00,"221 avenue Jean-Jaurès, Paris, France",Paris 19e,unknown,"(2.393824, 48.889311)",,,unknown,unknown,2024-02-04 16:00:00,16h00
Natasha Kadyrova et Marina Kolomitceva,Église Saint-Éphrem,Dimanche 4 Février  16h00,"17 rue des Carmes, Paris, France",Paris 5e,16-25 €,"(2.347335, 48.848424)",16.0,25.0,,20.5,2024-02-04 16:00:00,16h00
Orchestre de l'Académie de l'île Saint-Louis,Église Saint-Louis-en-l'Île,Dim 4 Février  16h00,"19 bis rue Saint-Louis-en-l'Île, Paris, France",Paris 4e,unknown,"(2.357978, 48.85127)",,,unknown,unknown,2024-02-04 16:00:00,16h00
Musiques de Couronnement,Campus d'Orsay - Amphithéâtre Henri Cartan,Dimanche 4 Février  16h00,"598 rue André Rivière, Paris, France",Orsay,unknown,"(2.309088, 48.87276)",,,unknown,unknown,2024-02-04 16:00:00,16h00
Ensemble Beata Musica,Hôpital Tenon,Dimanche 4 Février  16h00,"4 rue de la Chine, Paris, France",Paris 20e,unknown,"(2.400762, 48.86572)",,,unknown,unknown,2024-02-04 16:00:00,16h00
Umberto Realino,Chapelle de l'Agneau de Dieu,Dimanche 4 Février  17h00,"2 place Henri-Frenay, Paris, France",Paris 12e,unknown,"(2.37749, 48.844629)",,,unknown,unknown,2024-02-04 17:00:00,17h00
Chœur de la Cathédrale américaine et Andrew Dewar,Cathédrale américaine,Dimanche 4 Février  18h00,"23 avenue George V, Paris, France",Paris 8e,unknown,"(2.300939, 48.867508)",,,unknown,unknown,2024-02-04 18:00:00,18h00
Olivier Schmitt,Église Saint-Pierre de Montmartre,Dimanche 4 Février  18h00,"2 rue du Mont-Cenis, Paris, France",Paris 18e,unknown,"(2.341507, 48.886708)",,,unknown,unknown,2024-02-04 18:00:00,18h00
« Don Giovanni » de Mozart,Théâtre des Champs-Élysées,Lundi 5 Février  19h30,"15 avenue Montaigne, Paris, France",Paris 8e,unknown,"(2.303279, 48.865672)",,,unknown,unknown,2024-02-05 19:30:00,19h30
Loann Fourmental,Église Saint-Éphrem,Lundi 5 Février  19h30,"17 rue des Carmes, Paris, France",Paris 5e,16-25 €,"(2.347335, 48.848424)",16.0,25.0,,20.5,2024-02-05 19:30:00,19h30
Cuarteto Chagall et Angélica Rodríguez,Athénée Théâtre Louis-Jouvet,Lundi 5 Février  20h00,"7 rue Boudreau Square de l'Opéra Louis-Jouvet, Paris, France",Paris 9e,15-31 €,"(2.329072, 48.87183)",15.0,31.0,,23.0,2024-02-05 20:00:00,20h00
Orchestre national du Capitole de Toulouse,Grande salle Pierre Boulez - Philharmonie de Paris,Lundi 5 Février  20h00,"221 avenue Jean-Jaurès, Paris, France",Paris 19e,unknown,"(2.393824, 48.889311)",,,unknown,unknown,2024-02-05 20:00:00,20h00
Elisabeth Leonskaja,Grande salle Pierre Boulez - Philharmonie de Paris,Mardi 6 Février  20h00,"221 avenue Jean-Jaurès, Paris, France",Paris 19e,unknown,"(2.393824, 48.889311)",,,unknown,unknown,2024-02-06 20:00:00,20h00
"Sonia Wieder-Atherton, Amaryllis Billet et Françoise Rivalland",Auditorium Patrick Devedjian - La Seine Musicale,Mardi 6 Février  20h00,"1 île Seguin, Paris, France",Boulogne-Billancourt,unknown,"(2.365269, 48.891683)",,,unknown,unknown,2024-02-06 20:00:00,20h00
Orchestre Les Violons de France,Église de la Madeleine,Mercredi 7 Février  19h30,"Place de la Madeleine, Paris, France",Paris 8e,22-33 €,"(2.324455, 48.870062)",22.0,33.0,,27.5,2024-02-07 19:30:00,19h30
Orchestre de chambre de Paris et Christian Tetzlaff,Théâtre des Champs-Élysées,Mercredi 7 Février  20h00,"15 avenue Montaigne, Paris, France",Paris 8e,15-52 €,"(2.303279, 48.865672)",15.0,52.0,,33.5,2024-02-07 20:00:00,20h00
Orchestre de Paris et Nina Stemme,Grande salle Pierre Boulez - Philharmonie de Paris,Mercredi 7 Février  20h00,"221 avenue Jean-Jaurès, Paris, France",Paris 19e,unknown,"(2.393824, 48.889311)",,,unknown,unknown,2024-02-07 20:00:00,20h00
Orchestre de Paris et Nina Stemme,Grande salle Pierre Boulez - Philharmonie de Paris, Jeudi 8 Février  20h00,"221 avenue Jean-Jaurès, Paris, France",Paris 19e,unknown,"(2.393824, 48.889311)",,,unknown,unknown,2024-02-08 20:00:00,20h00
« Didon et Énée » de Purcell / « Jephté » de Carissimi,Théâtre des Champs-Élysées,Jeudi 8 Février  19h30,"15 avenue Montaigne, Paris, France",Paris 8e,unknown,"(2.303279, 48.865672)",,,unknown,unknown,2024-02-08 19:30:00,19h30
Maxime Sauze,Église Saint-Éphrem,Jeudi 8 Février  19h30,"17 rue des Carmes, Paris, France",Paris 5e,16-25 €,"(2.347335, 48.848424)",16.0,25.0,,20.5,2024-02-08 19:30:00,19h30
Chœur de Grenelle,Église Saint-Roch,Jeudi 8 Février  20h30,"296 rue Saint-Honoré, Paris, France",Paris 1er,unknown,"(2.332239, 48.864954)",,,unknown,unknown,2024-02-08 20:30:00,20h30
Teva Mazoyer,Église Saint-Éphrem,Vendredi 9 Février  19h30,"17 rue des Carmes, Paris, France",Paris 5e,16-25 €,"(2.347335, 48.848424)",16.0,25.0,,20.5,2024-02-09 19:30:00,19h30
Ballades musicales,Grande salle Pierre Boulez - Philharmonie de Paris,Samedi 10 Février  15h00,"221 avenue Jean-Jaurès, Paris, France",Paris 19e,unknown,"(2.393824, 48.889311)",,,unknown,unknown,2024-02-10 15:00:00,15h00
Adrien Polycarpe,Église Saint-Éphrem,Samedi 10 Février  16h30,"17 rue des Carmes, Paris, France",Paris 5e,16-25 €,"(2.347335, 48.848424)",16.0,25.0,,20.5,2024-02-10 16:30:00,16h30
Adrien Polycarpe,Église Saint-Éphrem, Mardi 13 Février  19h00,"17 rue des Carmes, Paris, France",Paris 5e,16-25 €,"(2.347335, 48.848424)",16.0,25.0,,20.5,2024-02-13 19:00:00,19h00
Gautier Capuçon et Daniil Trifonov,Grande salle Pierre Boulez - Philharmonie de Paris,Samedi 10 Février  20h00,"221 avenue Jean-Jaurès, Paris, France",Paris 19e,unknown,"(2.393824, 48.889311)",,,unknown,unknown,2024-02-10 20:00:00,20h00
Orchestre Les Violons de France et Cécile Besnard,Église de la Madeleine,Samedi 10 Février  20h00,"Place de la Madeleine, Paris, France",Paris 8e,22-33 €,"(2.324455, 48.870062)",22.0,33.0,,27.5,2024-02-10 20:00:00,20h00
Le Monde de Ravel,Auditorium Patrick Devedjian - La Seine Musicale,Samedi 10 Février  20h30,"1 île Seguin, Paris, France",Boulogne-Billancourt,unknown,"(2.365269, 48.891683)",,,unknown,unknown,2024-02-10 20:30:00,20h30
Orchestre Hélios et Glen Rouxel,Église Saint-Germain-des-Prés,Samedi 10 Février  20h45,"Place Saint-Germain des Prés, Paris, France",Paris 6e,22-44 €,"(2.333399, 48.854182)",22.0,44.0,,33.0,2024-02-10 20:45:00,20h45
Adam Laloum,Théâtre des Champs-Élysées,Dimanche 11 Février  11h00,"15 avenue Montaigne, Paris, France",Paris 8e,16-28 €,"(2.303279, 48.865672)",16.0,28.0,,22.0,2024-02-11 11:00:00,11h00
Remi Masunaga,Église Saint-Éphrem,Dimanche 11 Février  16h00,"17 rue des Carmes, Paris, France",Paris 5e,16-25 €,"(2.347335, 48.848424)",16.0,25.0,,20.5,2024-02-11 16:00:00,16h00
West Side Story & Porgy and Bess,Auditorium Patrick Devedjian - La Seine Musicale,Dimanche 11 Février  16h30,"1 île Seguin, Paris, France",Boulogne-Billancourt,unknown,"(2.365269, 48.891683)",,,unknown,unknown,2024-02-11 16:30:00,16h30
Adriana von Franqué,Fondation de l'Allemagne – Maison Heinrich Heine - Cité Internationale Universitaire,Dim 11 Février  17h00,"27 boulevard Jourdan, Paris, France",Paris 14e,unknown,"(2.337324, 48.820425)",,,unknown,unknown,2024-02-11 17:00:00,17h00
Illya Amar,Église Saint-Pierre de Montmartre,Dimanche 11 Février  18h00,"2 rue du Mont-Cenis, Paris, France",Paris 18e,unknown,"(2.341507, 48.886708)",,,unknown,unknown,2024-02-11 18:00:00,18h00
Natasha Kadyrova,Église Saint-Éphrem,Lundi 12 Février  19h30,"17 rue des Carmes, Paris, France",Paris 5e,16-25 €,"(2.347335, 48.848424)",16.0,25.0,,20.5,2024-02-12 19:30:00,19h30
"Anna Prohaska, Lars Eidinger et Eric Schneider",Athénée Théâtre Louis-Jouvet,Lundi 12 Février  20h00,"7 rue Boudreau Square de l'Opéra Louis-Jouvet, Paris, France",Paris 9e,24-31 €,"(2.329072, 48.87183)",24.0,31.0,,27.5,2024-02-12 20:00:00,20h00
The Beggar's Ensemble,La Scala Paris,Mardi 13 Février  19h30,"13 boulevard de Strasbourg, Paris, France",Paris 10e,unknown,"(2.354572, 48.870299)",,,unknown,unknown,2024-02-13 19:30:00,19h30
Beatrice Rana,Grande salle Pierre Boulez - Philharmonie de Paris,Mardi 13 Février  20h00,"221 avenue Jean-Jaurès, Paris, France",Paris 19e,unknown,"(2.393824, 48.889311)",,,unknown,unknown,2024-02-13 20:00:00,20h00
Antonin Bonnet et Krzysztof Michalski,Église Saint-Éphrem,Mercredi 14 Février  19h30,"17 rue des Carmes, Paris, France",Paris 5e,16-25 €,"(2.347335, 48.848424)",16.0,25.0,,20.5,2024-02-14 19:30:00,19h30
Stéphane Degout et Alain Planès,Opéra Comique,Mercredi 14 Février  20h00,"1 place Boïeldieu, Paris, France",Paris 2e,21-55 €,"(2.337655, 48.870671)",21.0,55.0,,38.0,2024-02-14 20:00:00,20h00
« L'Orfeo » de Monteverdi,Grande salle Pierre Boulez - Philharmonie de Paris,Mercredi 14 Février  20h00,"221 avenue Jean-Jaurès, Paris, France",Paris 19e,unknown,"(2.393824, 48.889311)",,,unknown,unknown,2024-02-14 20:00:00,20h00
Orchestre Les Violons de France,Église de la Madeleine,Mercredi 14 Février  20h00,"Place de la Madeleine, Paris, France",Paris 8e,22-33 €,"(2.324455, 48.870062)",22.0,33.0,,27.5,2024-02-14 20:00:00,20h00
Loann Fourmental,Église Saint-Éphrem,Jeudi 15 Février  19h00,"17 rue des Carmes, Paris, France",Paris 5e,16-25 €,"(2.347335, 48.848424)",16.0,25.0,,20.5,2024-02-15 19:00:00,19h00
Mahler : Symphonie n°6,Maison de la Radio et de la Musique,Vendredi 16 Février  20h00,"116 avenue du Président Kennedy, Paris, France",Paris 16e,unknown,"(2.279529, 48.852149)",,,unknown,unknown,2024-02-16 20:00:00,20h00
Antonin Bonnet,Église Saint-Éphrem,Vendredi 16 Février  20h00,"17 rue des Carmes, Paris, France",Paris 5e,16-25 €,"(2.347335, 48.848424)",16.0,25.0,,20.5,2024-02-16 20:00:00,20h00
Adrien Polycarpe,Église Saint-Éphrem,Samedi 17 Février  17h30,"17 rue des Carmes, Paris, France",Paris 5e,16-25 €,"(2.347335, 48.848424)",16.0,25.0,,20.5,2024-02-17 17:30:00,17h30
Adrien Polycarpe,Église Saint-Éphrem, Mardi 20 Février  19h00,"17 rue des Carmes, Paris, France",Paris 5e,16-25 €,"(2.347335, 48.848424)",16.0,25.0,,20.5,2024-02-20 19:00:00,19h00
