Unnamed: 0,nom,etablissement,Date,adresse,commune,prix,Coordonnees,prix min,prix max,prix unique,prix moyen
40,"Kessel, la liberté à tout prix",Théâtre du Lucernaire,<b>Du 30 août 2023 au 7 janvier 2024</b>,5 rue Nicolas-Appert,Paris 11e,unknown,"(48.858841, 2.370225)",,,unknown,unknown
41,"Kessel, la liberté à tout prix",Théâtre Rive Gauche,<b>Du 12 janvier 2024 au 21 avril 2024</b>,5 rue Nicolas-Appert,Paris 11e,15-31 €,"(48.858841, 2.370225)",15.0,31.0,,23.0
42,Moby Dick,Théâtre du Lucernaire,<b>Du 13 décembre 2023 au 3 mars 2024</b>,5 rue Nicolas-Appert,Paris 11e,16-55 €,"(48.858841, 2.370225)",16.0,55.0,,35.5
43,Interruption,Théâtre Antoine,<b>Du 18 septembre 2023 au 13 février 2024</b>,5 rue Nicolas-Appert,Paris 11e,21-50 €,"(48.858841, 2.370225)",21.0,50.0,,35.5
44,Les Téméraires,Comédie Bastille,<b>Du 7 septembre 2023 au 16 juin 2024</b>,5 rue Nicolas-Appert,Paris 11e,13-64 €,"(48.858841, 2.370225)",13.0,64.0,,38.5
45,Un léger doute,Théâtre de la Renaissance,<b>Du 29 septembre 2023 au 7 janvier 2024</b>,37 bis bd de la Chapelle,Paris 10e,16-89 €,"(48.884177, 2.358623)",16.0,89.0,,52.5
46,Toute l'histoire de la peinture en moins de deux heures,Le 13e Art,<b>Du 9 octobre 2023 au 3 juin 2024</b>,37 bis bd de la Chapelle,Paris 10e,16-68 €,"(48.884177, 2.358623)",16.0,68.0,,42.0
47,Le Repas des fauves,Théâtre Hébertot,<b>Du 14 septembre 2023 au 29 février 2024</b>,37 bis bd de la Chapelle,Paris 10e,15-55 €,"(48.884177, 2.358623)",15.0,55.0,,35.0
48,Le Horla,À la Folie Théâtre,<b>Du 16 novembre 2023 au 4 février 2024</b>,37 bis bd de la Chapelle,Paris 10e,22-39 €,"(48.884177, 2.358623)",22.0,39.0,,30.5
49,Le Concierge,La Divine Comédie,<b>Du 23 septembre 2023 au 30 mars 2024</b>,37 bis bd de la Chapelle,Paris 10e,17-22 €,"(48.884177, 2.358623)",17.0,22.0,,19.5
