Unnamed: 0,nom,etablissement,Date,adresse,commune,prix,Coordonnees,prix min,prix max,prix unique,prix moyen
358,Media Vita,Théâtre de la Reine Blanche,<b>Du 10 janvier 2024 au 4 février 2024</b>,16 passage Piver,Paris 11e,11-28 €,"(48.8709, 2.374281)",11.0,28.0,,19.5
359,Ceux qui se sont évaporés,Théâtre de Belleville,<b>Du 4 février 2024 au 27 février 2024</b>,16 passage Piver,Paris 11e,13-30 €,"(48.8709, 2.374281)",13.0,30.0,,21.5
360,Diari d'amore,Athénée Théâtre Louis-Jouvet,<b>Du 6 juin 2024 au 16 juin 2024</b>,53 rue des Saules,Paris 18e,15-40 €,"(48.890751, 2.340416)",15.0,40.0,,27.5
361,Finlandia,Théâtre des Bouffes du Nord,<b>Du 1 mars 2024 au 10 mars 2024</b>,53 rue des Saules,Paris 18e,35 €,"(48.890751, 2.340416)",,,35.0,35.0
362,Dieu ne fait rien pour les faibles,Théâtre de l'Épée de Bois - Cartoucherie,<b>Du 11 janvier 2024 au 28 janvier 2024</b>,53 rue des Saules,Paris 18e,11-24 €,"(48.890751, 2.340416)",11.0,24.0,,17.5
363,Huit rois (nos présidents) : V. Giscard d'Estaing,Théâtre 13 - Glacière,<b>Du 13 juin 2024 au 28 juin 2024</b>,53 rue des Saules,Paris 18e,28 €,"(48.890751, 2.340416)",,,28.0,28.0
364,L'Art de ne pas dire,Théâtre Lepic,<b>Du 28 janvier 2024 au 2 avril 2024</b>,53 rue des Saules,Paris 18e,42 €,"(48.890751, 2.340416)",,,42.0,42.0
365,Les 7 nuits de la Reine,Théâtre L'Essaïon,<b>Du 25 septembre 2023 au 29 janvier 2024</b>,53 rue des Saules,Paris 18e,16-28 €,"(48.890751, 2.340416)",16.0,28.0,,22.0
366,Metoo ?,Comédie des Trois Bornes,<b>Du 23 octobre 2023 au 29 janvier 2024</b>,53 rue des Saules,Paris 18e,15 €,"(48.890751, 2.340416)",,,15.0,15.0
367,La Mort d'Empédocle,Théâtre de l'Épée de Bois - Cartoucherie,<b>Du 6 février 2024 au 18 février 2024</b>,53 rue des Saules,Paris 18e,11-24 €,"(48.890751, 2.340416)",11.0,24.0,,17.5
368,En scène monsieur Guitry,Théâtre de l'Épée de Bois - Cartoucherie,<b>Du 1 février 2024 au 11 février 2024</b>,53 rue des Saules,Paris 18e,11-24 €,"(48.890751, 2.340416)",11.0,24.0,,17.5
369,Queen Kong,Théâtre La Croisée des Chemins,<b>Du 9 novembre 2023 au 29 décembre 2023</b>,53 rue des Saules,Paris 18e,13-22 €,"(48.890751, 2.340416)",13.0,22.0,,17.5
370,Éric Chartier,Au Port du Salut,<b>Du 8 novembre 2023 au 26 juin 2024</b>,53 rue des Saules,Paris 18e,unknown,"(48.890751, 2.340416)",,,unknown,unknown
371,Le bar de l'oriental,Théâtre Montparnasse,<b>Du 7 février 2024 au 28 avril 2024</b>,53 rue des Saules,Paris 18e,14-49 €,"(48.890751, 2.340416)",14.0,49.0,,31.5
372,Derrière les lignes ennemies,Théâtre du Rond-Point,<b>Du 23 janvier 2024 au 10 février 2024</b>,53 rue des Saules,Paris 18e,unknown,"(48.890751, 2.340416)",,,unknown,unknown
373,Fin de partie,Théâtre de l'Atelier,<b>Du 5 juin 2024 au 14 juillet 2024</b>,53 rue des Saules,Paris 18e,23-43 €,"(48.890751, 2.340416)",23.0,43.0,,33.0
374,La Trajectoire des gamètes,Le Funambule Montmartre,<b>Du 4 octobre 2023 au 31 janvier 2024</b>,53 rue des Saules,Paris 18e,11-33 €,"(48.890751, 2.340416)",11.0,33.0,,22.0
375,La Métamorphose des cigognes,La Pépinière Théâtre,<b>Du 27 janvier 2024 au 27 avril 2024</b>,15 rue Malte-Brun,Paris 20e,11-32 €,"(48.864546, 2.397659)",11.0,32.0,,21.5
376,Terrasses,La Colline - Théâtre national,<b>Du 15 mai 2024 au 9 juin 2024</b>,15 rue Malte-Brun,Paris 20e,11-36 €,"(48.864546, 2.397659)",11.0,36.0,,23.5
377,Julia,Théâtre Silvia Monfort,<b>Du 3 avril 2024 au 6 avril 2024</b>,15 rue Malte-Brun,Paris 20e,11-29 €,"(48.864546, 2.397659)",11.0,29.0,,20.0
378,Le Journal intime d'Adam et Eve,Théâtre de l'Épée de Bois - Cartoucherie,<b>Du 29 février 2024 au 10 mars 2024</b>,15 rue Malte-Brun,Paris 20e,11-24 €,"(48.864546, 2.397659)",11.0,24.0,,17.5
379,Splendeurs et misères,Théâtre de l'Épée de Bois - Cartoucherie,<b>Du 22 février 2024 au 10 mars 2024</b>,15 rue Malte-Brun,Paris 20e,11-24 €,"(48.864546, 2.397659)",11.0,24.0,,17.5
380,Les Consolantes,Théâtre 13 - Bibliothèque,<b>Du 30 janvier 2024 au 9 février 2024</b>,15 rue Malte-Brun,Paris 20e,28 €,"(48.864546, 2.397659)",,,28.0,28.0
381,Les Vagues,Théâtre de la Tempête - Cartoucherie,<b>Du 16 mai 2024 au 26 mai 2024</b>,15 rue Malte-Brun,Paris 20e,11-26 €,"(48.864546, 2.397659)",11.0,26.0,,18.5
382,Les Consolantes,L'Étoile du Nord,<b>Du 24 janvier 2024 au 26 janvier 2024</b>,15 rue Malte-Brun,Paris 20e,11 €,"(48.864546, 2.397659)",,,11.0,11.0
383,24 secondes,L'Étoile du Nord,<b>Du 19 avril 2024 au 21 avril 2024</b>,15 rue Malte-Brun,Paris 20e,11 €,"(48.864546, 2.397659)",,,11.0,11.0
384,Soirée prendre part - Nos intelligences,L'Étoile du Nord,<b>Le 16 mars 2024</b>,15 rue Malte-Brun,Paris 20e,6 €,"(48.864546, 2.397659)",,,6.0,6.0
385,Bérénice,Théâtre Darius Milhaud,<b>Du 10 janvier 2024 au 27 mars 2024</b>,15 rue Malte-Brun,Paris 20e,13-20 €,"(48.864546, 2.397659)",13.0,20.0,,16.5
386,Juste un sourire,Théâtre Pixel,<b>Du 7 novembre 2023 au 26 décembre 2023</b>,15 rue Malte-Brun,Paris 20e,unknown,"(48.864546, 2.397659)",,,unknown,unknown
387,Thomas joue ses perruques (Deluxe Edition),Théâtre de l'Atelier,<b>Du 23 janvier 2024 au 1 février 2024</b>,15 rue Malte-Brun,Paris 20e,16-39 €,"(48.864546, 2.397659)",16.0,39.0,,27.5
388,Le Coup de la panne,Théâtre du Marais,<b>Du 13 janvier 2024 au 30 mars 2024</b>,15 rue Malte-Brun,Paris 20e,16-22 €,"(48.864546, 2.397659)",16.0,22.0,,19.0
389,Le Tigre bleu de l'Euphrate,La Colline - Théâtre national,<b>Du 24 mai 2024 au 16 juin 2024</b>,15 rue Malte-Brun,Paris 20e,11-36 €,"(48.864546, 2.397659)",11.0,36.0,,23.5
390,L'Enfant brûlé,Odéon - Ateliers Berthier,<b>Du 27 février 2024 au 17 mars 2024</b>,2 bis passage Ruelle,Paris 18e,unknown,"(48.886741, 2.358999)",,,unknown,unknown
391,Hubris,Le Funambule Montmartre,<b>Du 18 janvier 2024 au 11 février 2024</b>,2 bis passage Ruelle,Paris 18e,11-33 €,"(48.886741, 2.358999)",11.0,33.0,,22.0
392,Un état de nos vies,Théâtre du Rond-Point,<b>Du 21 mai 2024 au 31 mai 2024</b>,2 bis passage Ruelle,Paris 18e,34 €,"(48.886741, 2.358999)",,,34.0,34.0
393,Florence et Moustafa,Théâtre 14,<b>Du 9 septembre 2023 au 20 janvier 2024</b>,2 bis passage Ruelle,Paris 18e,unknown,"(48.886741, 2.358999)",,,unknown,unknown
394,Précisément par Hasard,Comédie Nation,<b>Du 23 novembre 2023 au 8 février 2024</b>,2 bis passage Ruelle,Paris 18e,16-22 €,"(48.886741, 2.358999)",16.0,22.0,,19.0
395,Le Crédit,Théâtre L'Essaïon,<b>Du 11 septembre 2023 au 22 janvier 2024</b>,2 bis passage Ruelle,Paris 18e,13-28 €,"(48.886741, 2.358999)",13.0,28.0,,20.5
396,"Rhinocéros, la nouvelle",Théâtre L'Essaïon,<b>Du 18 avril 2024 au 13 juin 2024</b>,2 bis passage Ruelle,Paris 18e,16-28 €,"(48.886741, 2.358999)",16.0,28.0,,22.0
397,La Véritable Histoire de Dracula,Théâtre de la Tour Eiffel,<b>Du 4 février 2024 au 18 février 2024</b>,2 bis passage Ruelle,Paris 18e,13-42 €,"(48.886741, 2.358999)",13.0,42.0,,27.5
398,King Kong Théorie,Théâtre Silvia Monfort,<b>Du 4 juin 2024 au 15 juin 2024</b>,2 bis passage Ruelle,Paris 18e,11-29 €,"(48.886741, 2.358999)",11.0,29.0,,20.0
399,Kids,La Scala Paris,<b>Du 1 mars 2024 au 6 avril 2024</b>,2 bis passage Ruelle,Paris 18e,20-25 €,"(48.886741, 2.358999)",20.0,25.0,,22.5
400,Entre-temps,Théâtre Pixel,,2 bis passage Ruelle,Paris 18e,unknown,"(48.886741, 2.358999)",,,unknown,unknown
401,La Loi du marcheur,Théâtre de la Bastille,<b>Du 3 mai 2024 au 29 mai 2024</b>,2 bis passage Ruelle,Paris 18e,28 €,"(48.886741, 2.358999)",,,28.0,28.0
402,À la recherche des canards perdus - Cartographie 1,Théâtre de l'Atelier,<b>Du 23 avril 2024 au 18 juin 2024</b>,2 bis passage Ruelle,Paris 18e,16-35 €,"(48.886741, 2.358999)",16.0,35.0,,25.5
403,Oui,Odéon - Ateliers Berthier,<b>Du 24 mai 2024 au 15 juin 2024</b>,2 bis passage Ruelle,Paris 18e,unknown,"(48.886741, 2.358999)",,,unknown,unknown
404,J'ai si peu parlé ma propre langue,Théâtre de la Reine Blanche,<b>Du 11 janvier 2024 au 3 février 2024</b>,2 bis passage Ruelle,Paris 18e,11-28 €,"(48.886741, 2.358999)",11.0,28.0,,19.5
405,Mémoire(s),Le Funambule Montmartre,<b>Du 9 janvier 2024 au 27 février 2024</b>,95 bd Saint-Michel,Paris 5e,11-33 €,"(48.844567, 2.339549)",11.0,33.0,,22.0
406,Nom,Théâtre du Rond-Point,<b>Du 19 mars 2024 au 6 avril 2024</b>,95 bd Saint-Michel,Paris 5e,34 €,"(48.844567, 2.339549)",,,34.0,34.0
407,Tristesse et joie dans la vie des girafes,Théâtre du Rond-Point,<b>Du 23 février 2024 au 3 mars 2024</b>,95 bd Saint-Michel,Paris 5e,34 €,"(48.844567, 2.339549)",,,34.0,34.0
408,"Moi, Kadhafi",La Scala Paris,<b>Du 9 janvier 2024 au 21 janvier 2024</b>,95 bd Saint-Michel,Paris 5e,17-25 €,"(48.844567, 2.339549)",17.0,25.0,,21.0
409,La nuit sera blanche,Théâtre de l'Aquarium - Cartoucherie,<b>Du 18 janvier 2024 au 27 janvier 2024</b>,95 bd Saint-Michel,Paris 5e,13-24 €,"(48.844567, 2.339549)",13.0,24.0,,18.5
410,La Solitude des mues,Théâtre de la Tempête - Cartoucherie,<b>Du 13 janvier 2024 au 11 février 2024</b>,95 bd Saint-Michel,Paris 5e,11-26 €,"(48.844567, 2.339549)",11.0,26.0,,18.5
411,Krach !,Le Mouffetard - Théâtre des arts de la marionnette,<b>Du 14 mars 2024 au 31 mars 2024</b>,95 bd Saint-Michel,Paris 5e,14-22 €,"(48.844567, 2.339549)",14.0,22.0,,18.0
412,Des ombres et des armes,La Manufacture des Abbesses,<b>Du 18 janvier 2024 au 14 avril 2024</b>,95 bd Saint-Michel,Paris 5e,11-29 €,"(48.844567, 2.339549)",11.0,29.0,,20.0
413,"Orgueil, poursuite et décapitation",Théâtre Clavel,<b>Du 13 décembre 2023 au 27 décembre 2023</b>,95 bd Saint-Michel,Paris 5e,unknown,"(48.844567, 2.339549)",,,unknown,unknown
414,Un homme qui dort,Théâtre L'Essaïon,<b>Du 23 novembre 2023 au 29 février 2024</b>,95 bd Saint-Michel,Paris 5e,16-28 €,"(48.844567, 2.339549)",16.0,28.0,,22.0
415,Mille et une Layla,Théo Théâtre,<b>Du 18 octobre 2023 au 10 avril 2024</b>,95 bd Saint-Michel,Paris 5e,unknown,"(48.844567, 2.339549)",,,unknown,unknown
416,Thérapie,Théâtre Pixel,<b>Du 18 septembre 2023 au 17 juin 2024</b>,95 bd Saint-Michel,Paris 5e,unknown,"(48.844567, 2.339549)",,,unknown,unknown
417,Le Frigo,Théâtre Darius Milhaud,<b>Du 2 novembre 2023 au 28 décembre 2023</b>,95 bd Saint-Michel,Paris 5e,13-15 €,"(48.844567, 2.339549)",13.0,15.0,,14.0
418,Un escalier pour la paix,Théâtre Darius Milhaud,<b>Du 6 décembre 2023 au 21 février 2024</b>,95 bd Saint-Michel,Paris 5e,13-15 €,"(48.844567, 2.339549)",13.0,15.0,,14.0
419,La Fontaine à travers l'Histoire,Comédie Saint-Michel,<b>Du 1 juillet 2023 au 4 janvier 2024</b>,95 bd Saint-Michel,Paris 5e,22-29 €,"(48.844567, 2.339549)",22.0,29.0,,25.5
420,Lettres à un jeune poète,Théâtre de l'Épée de Bois - Cartoucherie,<b>Du 14 mars 2024 au 24 mars 2024</b>,5 rue des Plâtrières,Paris 20e,11-24 €,"(48.867853, 2.389335)",11.0,24.0,,17.5
421,Histoires d'amour improvisées,Comédie des Trois Bornes,<b>Du 7 janvier 2024 au 21 janvier 2024</b>,5 rue des Plâtrières,Paris 20e,15 €,"(48.867853, 2.389335)",,,15.0,15.0
422,Harvey,Théâtre de Nesle,<b>Du 5 janvier 2024 au 15 janvier 2024</b>,5 rue des Plâtrières,Paris 20e,16 €,"(48.867853, 2.389335)",,,16.0,16.0
423,Hortense Belhôte : Une histoire du football féminin,Chaillot – Théâtre National de la Danse,<b>Le 14 juin 2024</b>,5 rue des Plâtrières,Paris 20e,unknown,"(48.867853, 2.389335)",,,unknown,unknown
424,Ce qu'il faut dire,Théâtre de la Reine Blanche,<b>Du 21 février 2024 au 10 mars 2024</b>,5 rue des Plâtrières,Paris 20e,11-22 €,"(48.867853, 2.389335)",11.0,22.0,,16.5
425,La beauté sauvera le Monde,Théâtre L'Essaïon,<b>Du 29 janvier 2024 au 19 mars 2024</b>,5 rue des Plâtrières,Paris 20e,13-22 €,"(48.867853, 2.389335)",13.0,22.0,,17.5
426,Kevin,Théâtre du Rond-Point,<b>Du 23 avril 2024 au 11 mai 2024</b>,5 rue des Plâtrières,Paris 20e,34 €,"(48.867853, 2.389335)",,,34.0,34.0
427,Abysses,Le Centquatre (104),<b>Du 18 janvier 2024 au 20 janvier 2024</b>,5 rue des Plâtrières,Paris 20e,unknown,"(48.867853, 2.389335)",,,unknown,unknown
428,Item,Théâtre de l'Aquarium - Cartoucherie,<b>Du 15 mars 2024 au 24 mars 2024</b>,5 rue des Plâtrières,Paris 20e,13-24 €,"(48.867853, 2.389335)",13.0,24.0,,18.5
429,Portrait d'une femme,Théâtre de l'Épée de Bois - Cartoucherie,<b>Du 8 février 2024 au 18 février 2024</b>,5 rue des Plâtrières,Paris 20e,11-24 €,"(48.867853, 2.389335)",11.0,24.0,,17.5
430,Abysses,Théâtre 13 - Bibliothèque,<b>Du 28 février 2024 au 9 mars 2024</b>,5 rue des Plâtrières,Paris 20e,28 €,"(48.867853, 2.389335)",,,28.0,28.0
431,Farben,Le Mouffetard - Théâtre des arts de la marionnette,<b>Du 17 janvier 2024 au 27 janvier 2024</b>,5 rue des Plâtrières,Paris 20e,14-22 €,"(48.867853, 2.389335)",14.0,22.0,,18.0
432,Nous étions la forêt,L'Étoile du Nord,<b>Le 27 janvier 2024</b>,5 rue des Plâtrières,Paris 20e,6 €,"(48.867853, 2.389335)",,,6.0,6.0
433,Le Portrait de Dorian Gray,Laurette Théâtre,<b>Du 13 janvier 2024 au 30 mars 2024</b>,5 rue des Plâtrières,Paris 20e,14-20 €,"(48.867853, 2.389335)",14.0,20.0,,17.0
434,Futur,Les Plateaux sauvages,<b>Du 29 janvier 2024 au 10 février 2024</b>,5 rue des Plâtrières,Paris 20e,6-33 €,"(48.867853, 2.389335)",6.0,33.0,,19.5
435,"Antigone II, Métro Charonne le 8 février 1962",Théâtre Mélo d'Amélie,<b>Du 24 septembre 2023 au 28 avril 2024</b>,80 allée Darius-Milhaud,Paris 19e,11-29 €,"(48.885938, 2.393208)",11.0,29.0,,20.0
436,19.5 :  Le dix-neuvième en cinq actes,Théâtre L'Essaïon,<b>Du 15 novembre 2023 au 28 février 2024</b>,80 allée Darius-Milhaud,Paris 19e,13-28 €,"(48.885938, 2.393208)",13.0,28.0,,20.5
437,Un mois à la campagne,Théâtre du Nord-Ouest,<b>À partir du  2 septembre 2021.</b>,80 allée Darius-Milhaud,Paris 19e,unknown,"(48.885938, 2.393208)",,,unknown,unknown
438,Le Pain de ménage,Théâtre du Nord-Ouest,<b>Du 12 mai 2023 au 2 janvier 2024</b>,80 allée Darius-Milhaud,Paris 19e,unknown,"(48.885938, 2.393208)",,,unknown,unknown
439,Michaël Louchart : Un père à aimer,La Divine Comédie,<b>Du 19 septembre 2023 au 24 avril 2024</b>,80 allée Darius-Milhaud,Paris 19e,15-28 €,"(48.885938, 2.393208)",15.0,28.0,,21.5
440,Salomon Abramovski roi d'Angleterre !,Les Rendez-Vous d'Ailleurs,<b>Du 30 septembre 2023 au 31 décembre 2023</b>,80 allée Darius-Milhaud,Paris 19e,unknown,"(48.885938, 2.393208)",,,unknown,unknown
441,Les Possédés d'Illfurth,Théâtre du Rond-Point,<b>Du 14 mai 2024 au 1 juin 2024</b>,80 allée Darius-Milhaud,Paris 19e,34 €,"(48.885938, 2.393208)",,,34.0,34.0
442,Cavalières,La Colline - Théâtre national,<b>Du 5 mars 2024 au 31 mars 2024</b>,80 allée Darius-Milhaud,Paris 19e,11-36 €,"(48.885938, 2.393208)",11.0,36.0,,23.5
443,Voyage d'un Arlequin contemporain,Théâtre L'Essaïon,<b>Du 13 janvier 2024 au 6 avril 2024</b>,80 allée Darius-Milhaud,Paris 19e,13-22 €,"(48.885938, 2.393208)",13.0,22.0,,17.5
444,Fantômes,Théâtre de la Ville - Sarah Bernhardt,<b>Du 27 février 2024 au 9 mars 2024</b>,80 allée Darius-Milhaud,Paris 19e,unknown,"(48.885938, 2.393208)",,,unknown,unknown
445,La Tour de la défense,Théâtre de l'Épée de Bois - Cartoucherie,<b>Du 25 avril 2024 au 12 mai 2024</b>,80 allée Darius-Milhaud,Paris 19e,11-24 €,"(48.885938, 2.393208)",11.0,24.0,,17.5
446,Jamais deux sans douze,Théâtre Douze,<b>Du 7 mars 2024 au 10 mars 2024</b>,80 allée Darius-Milhaud,Paris 19e,16 €,"(48.885938, 2.393208)",,,16.0,16.0
447,Inconnu à cette adresse,Théâtre Douze,<b>Du 25 avril 2024 au 5 mai 2024</b>,80 allée Darius-Milhaud,Paris 19e,16 €,"(48.885938, 2.393208)",,,16.0,16.0
448,ADN : Alexandra David-Néel,Théâtre de l'Île Saint-Louis,<b>Du 4 novembre 2023 au 23 décembre 2023</b>,80 allée Darius-Milhaud,Paris 19e,unknown,"(48.885938, 2.393208)",,,unknown,unknown
449,Eva Peron,Théâtre Darius Milhaud,<b>Du 11 novembre 2023 au 27 janvier 2024</b>,80 allée Darius-Milhaud,Paris 19e,13-15 €,"(48.885938, 2.393208)",13.0,15.0,,14.0
450,Painkiller,La Colline - Théâtre national,<b>Du 6 mars 2024 au 30 mars 2024</b>,6 rue Pierre-au-Lard,Paris 4e,11-36 €,"(48.859764, 2.353086)",11.0,36.0,,23.5
451,Porn For The Blind,Théâtre des Béliers Parisiens,<b>Du 21 janvier 2024 au 11 février 2024</b>,6 rue Pierre-au-Lard,Paris 4e,30-40 €,"(48.859764, 2.353086)",30.0,40.0,,35.0
452,"Les Petits Chevaux, une histoire d'enfants des Lebensborn",Théâtre de la Reine Blanche,<b>Du 10 février 2024 au 9 mars 2024</b>,6 rue Pierre-au-Lard,Paris 4e,11-28 €,"(48.859764, 2.353086)",11.0,28.0,,19.5
453,Le Moment psychologique,La Scala Paris,<b>Du 1 février 2024 au 11 février 2024</b>,6 rue Pierre-au-Lard,Paris 4e,15-46 €,"(48.859764, 2.353086)",15.0,46.0,,30.5
454,PUNK.E.S,La Scala Paris,<b>Du 27 mars 2024 au 6 avril 2024</b>,6 rue Pierre-au-Lard,Paris 4e,15-46 €,"(48.859764, 2.353086)",15.0,46.0,,30.5
455,L'Addition,Théâtre Silvia Monfort,<b>Du 30 janvier 2024 au 3 février 2024</b>,6 rue Pierre-au-Lard,Paris 4e,11-29 €,"(48.859764, 2.353086)",11.0,29.0,,20.0
456,Huit rois (nos présidents) - Intégrale,Théâtre 13 - Glacière,<b>Du 15 juin 2024 au 29 juin 2024</b>,6 rue Pierre-au-Lard,Paris 4e,50 €,"(48.859764, 2.353086)",,,50.0,50.0
457,Nos âmes faibles,La Manufacture des Abbesses,<b>Du 22 janvier 2024 au 14 février 2024</b>,6 rue Pierre-au-Lard,Paris 4e,11-29 €,"(48.859764, 2.353086)",11.0,29.0,,20.0
458,Alexandra et Dominique Duvivier - Signatures,Le Double Fond,<b>Du 22 mars 2024 au 19 juillet 2024</b>,6 rue Pierre-au-Lard,Paris 4e,unknown,"(48.859764, 2.353086)",,,unknown,unknown
459,Brasser de l'air et s'envoler,La Flèche,<b>Du 10 janvier 2024 au 13 mars 2024</b>,6 rue Pierre-au-Lard,Paris 4e,16-22 €,"(48.859764, 2.353086)",16.0,22.0,,19.0
460,Le Tissu des rêves,Théâtre Darius Milhaud,<b>Du 13 janvier 2024 au 16 mars 2024</b>,6 rue Pierre-au-Lard,Paris 4e,13-20 €,"(48.859764, 2.353086)",13.0,20.0,,16.5
461,Les Doubles Vies de Sarah Bernhardt,Théâtre Darius Milhaud,<b>Du 10 décembre 2023 au 31 mars 2024</b>,6 rue Pierre-au-Lard,Paris 4e,13-15 €,"(48.859764, 2.353086)",13.0,15.0,,14.0
462,Le Journal d'un fou,Théâtre L'Essaïon,<b>Du 19 avril 2024 au 27 juillet 2024</b>,6 rue Pierre-au-Lard,Paris 4e,16-28 €,"(48.859764, 2.353086)",16.0,28.0,,22.0
463,Old up,Théâtre de la Reine Blanche,<b>Du 17 janvier 2024 au 18 février 2024</b>,6 rue Pierre-au-Lard,Paris 4e,11-22 €,"(48.859764, 2.353086)",11.0,22.0,,16.5
464,"Jean Zay, l'homme complet",Théâtre L'Essaïon,<b>Du 16 janvier 2024 au 26 mars 2024</b>,6 rue Pierre-au-Lard,Paris 4e,13-28 €,"(48.859764, 2.353086)",13.0,28.0,,20.5
465,La Meringue du souterrain,Théâtre du Rond-Point,<b>Du 5 juin 2024 au 15 juin 2024</b>,6 rue Pierre-au-Lard,Paris 4e,34 €,"(48.859764, 2.353086)",,,34.0,34.0
466,Poings,Théâtre Silvia Monfort,<b>Du 26 avril 2024 au 4 mai 2024</b>,6 rue Pierre-au-Lard,Paris 4e,11-29 €,"(48.859764, 2.353086)",11.0,29.0,,20.0
467,Dispak Dispac'h,Théâtre Silvia Monfort,<b>Du 21 mars 2024 au 31 mars 2024</b>,6 rue Pierre-au-Lard,Paris 4e,unknown,"(48.859764, 2.353086)",,,unknown,unknown
468,RAPT,Le Centquatre (104),<b>Du 24 janvier 2024 au 27 janvier 2024</b>,6 rue Pierre-au-Lard,Paris 4e,15-22 €,"(48.859764, 2.353086)",15.0,22.0,,18.5
469,Huit rois (nos présidents) - J. Chirac / F. Mitterrand,Théâtre 13 - Glacière,<b>Du 14 juin 2024 au 27 juin 2024</b>,6 rue Pierre-au-Lard,Paris 4e,28 €,"(48.859764, 2.353086)",,,28.0,28.0
470,Tellement sympa,IVT - International Visual Théâtre,<b>Du 5 mars 2024 au 18 mars 2024</b>,6 rue Pierre-au-Lard,Paris 4e,7-28 €,"(48.859764, 2.353086)",7.0,28.0,,17.5
471,Une vampire au soleil,Théâtre Dunois,<b>Du 27 février 2024 au 9 mars 2024</b>,6 rue Pierre-au-Lard,Paris 4e,11-18 €,"(48.859764, 2.353086)",11.0,18.0,,14.5
472,Dr Jekyll and Mr Hyde,Alhambra,<b>Le 14 mai 2024</b>,6 rue Pierre-au-Lard,Paris 4e,24 €,"(48.859764, 2.353086)",,,24.0,24.0
473,Sur les ruines de Babel L,La Divine Comédie,<b>Du 8 janvier 2024 au 12 janvier 2024</b>,6 rue Pierre-au-Lard,Paris 4e,18-23 €,"(48.859764, 2.353086)",18.0,23.0,,20.5
474,Okiss,La Flèche,<b>Du 13 janvier 2024 au 16 mars 2024</b>,6 rue Pierre-au-Lard,Paris 4e,16-22 €,"(48.859764, 2.353086)",16.0,22.0,,19.0
475,Le Cri,Théâtre Darius Milhaud,<b>Du 9 janvier 2024 au 26 mars 2024</b>,6 rue Pierre-au-Lard,Paris 4e,13-20 €,"(48.859764, 2.353086)",13.0,20.0,,16.5
476,La nuit c'est comme ça,Les Plateaux sauvages,<b>Du 22 avril 2024 au 30 avril 2024</b>,6 rue Pierre-au-Lard,Paris 4e,6-33 €,"(48.859764, 2.353086)",6.0,33.0,,19.5
477,Armande Sanseverino / Gaël Germain : En pièce jointe,Les Plateaux sauvages,<b>Du 13 mai 2024 au 17 mai 2024</b>,6 rue Pierre-au-Lard,Paris 4e,6-33 €,"(48.859764, 2.353086)",6.0,33.0,,19.5
478,Marcus,Comédie Bastille,<b>Du 16 septembre 2023 au 30 décembre 2023</b>,6 rue Pierre-au-Lard,Paris 4e,13-43 €,"(48.859764, 2.353086)",13.0,43.0,,28.0
479,Pôvre vieille démocrasseuse,Théâtre L'Essaïon,<b>Du 8 octobre 2023 au 14 janvier 2024</b>,6 rue Pierre-au-Lard,Paris 4e,16-28 €,"(48.859764, 2.353086)",16.0,28.0,,22.0
480,Adieu Marquise,Théâtre du Nord-Ouest,<b>À partir du  29 décembre 2022.</b>,211 avenue Jean-Jaurès Parc de La Villette,Paris 19e,unknown,"(48.888952, 2.392454)",,,unknown,unknown
481,L'Ingénu,Théâtre L'Essaïon,<b>Du 1 mars 2024 au 31 mars 2024</b>,211 avenue Jean-Jaurès Parc de La Villette,Paris 19e,13-28 €,"(48.888952, 2.392454)",13.0,28.0,,20.5
482,Artaud passion,Théâtre de l'Épée de Bois - Cartoucherie,<b>Du 22 février 2024 au 10 mars 2024</b>,211 avenue Jean-Jaurès Parc de La Villette,Paris 19e,11-24 €,"(48.888952, 2.392454)",11.0,24.0,,17.5
483,Un soir avec... Charles Berling,Théâtre des Mathurins,<b>Le 29 janvier 2024</b>,211 avenue Jean-Jaurès Parc de La Villette,Paris 19e,13-29 €,"(48.888952, 2.392454)",13.0,29.0,,21.0
484,Le Papier peint jaune,Théâtre de la Reine Blanche,<b>Du 13 mars 2024 au 14 avril 2024</b>,211 avenue Jean-Jaurès Parc de La Villette,Paris 19e,11-22 €,"(48.888952, 2.392454)",11.0,22.0,,16.5
485,Looking for Jaurès,Théâtre L'Essaïon,<b>Du 23 janvier 2024 au 2 avril 2024</b>,211 avenue Jean-Jaurès Parc de La Villette,Paris 19e,16-28 €,"(48.888952, 2.392454)",16.0,28.0,,22.0
486,"Quand je serai grande... tu seras une femme, ma fille",Théâtre L'Essaïon,<b>Le 27 janvier 2024</b>,211 avenue Jean-Jaurès Parc de La Villette,Paris 19e,11-28 €,"(48.888952, 2.392454)",11.0,28.0,,19.5
487,Calek,La Scala Paris,<b>Du 27 janvier 2024 au 4 février 2024</b>,211 avenue Jean-Jaurès Parc de La Villette,Paris 19e,19-28 €,"(48.888952, 2.392454)",19.0,28.0,,23.5
488,Qui a besoin du ciel,Le Centquatre (104),<b>Du 25 janvier 2024 au 10 février 2024</b>,211 avenue Jean-Jaurès Parc de La Villette,Paris 19e,15-22 €,"(48.888952, 2.392454)",15.0,22.0,,18.5
489,Il faut rendre à Césaire,Théâtre de l'Épée de Bois - Cartoucherie,<b>Du 16 mai 2024 au 26 mai 2024</b>,211 avenue Jean-Jaurès Parc de La Villette,Paris 19e,11-24 €,"(48.888952, 2.392454)",11.0,24.0,,17.5
