,Unnamed: 0,nom,etablissement,Date,adresse,commune,prix,coordonnees
392,398,Célia Oneto-Bensaïd,Auditorium de la Batterie,Mardi 12 Mars : 20h30,"1 rue de la RedouteParis, France",Guyancourt,25 €,"(2.623043, 43.223291)"
393,399,Louis Lortie,Salle Gaveau,Mardi 12 Mars : 20h30,"45 rue La BoétieParis, France",Paris 8e,unknown,"(3.027637, 47.177018)"
394,400,Adrien Polycarpe,Église Saint-Éphrem,"Mercredi 13 Mars : 19h00, Mardi 19 Mars : 20h00","17 rue des CarmesParis, France",Paris 5e,16-25 €,"(0.215366, 48.018756)"
395,401,Rameau : L'Entretien des muses ,La Scala Paris,Mercredi 13 Mars : 19h30,"13 boulevard de StrasbourgParis, France",Paris 10e,unknown,"(-0.755206, 48.060904)"
396,402,Rachmaninov : Leningrad,Grande salle Pierre Boulez - Philharmonie de Paris,Mercredi 13 Mars : 20h00,"221 avenue Jean-JaurèsParis, France",Paris 19e,unknown,"(-1.658612, 43.400892)"
397,403,Bach / Mozart / Pärt,Maison de la Radio et de la Musique,Mercredi 13 Mars : 20h00,"116 avenue du Président KennedyParis, France",Paris 16e,unknown,"(2.279529, 48.852149)"
398,404,« Carmen » de Bizet,Grande salle Pierre Boulez - Philharmonie de Paris,Jeudi 14 Mars : 20h00,"221 avenue Jean-JaurèsParis, France",Paris 19e,unknown,"(-1.658612, 43.400892)"
399,405,Beethoven : Symphonie n°6,Maison de la Radio et de la Musique,Jeudi 14 Mars : 20h00,"116 avenue du Président KennedyParis, France",Paris 16e,unknown,"(2.279529, 48.852149)"
400,406,"Patricia Petibon : l'Amour, la Mort, la Mer",Cathédrale Saint-Louis-des-Invalides - Hôtel National des Invalides,Jeudi 14 Mars : 20h00,"129 rue de Grenelle Hôtel National des InvalidesParis, France",Paris 7e,unknown,"(4.662361, 46.614745)"
401,407,Pascal Mantin,Église Saint-Éphrem,Vendredi 15 Mars : 20h00,"17 rue des CarmesParis, France",Paris 5e,16-25 €,"(0.215366, 48.018756)"
402,408,Chœur Éphata,Église Saint-Roch,"Vendredi 15 Mars : 20h30, Samedi 16 Mars : 20h30","296 rue Saint-HonoréParis, France",Paris 1er,unknown,"(55.455651, -21.294444)"
403,409,Alexis Grizard,Église Saint-Pierre de Montmartre,Samedi 16 Mars : 12h00,"2 rue du Mont-CenisParis, France",Paris 18e,unknown,"(2.341507, 48.886708)"
404,410,Remi Masunaga,Église Saint-Éphrem,Samedi 16 Mars : 16h30,"17 rue des CarmesParis, France",Paris 5e,16-25 €,"(0.215366, 48.018756)"
405,412,Stravinsky : Petrouchka,Maison de la Radio et de la Musique,Samedi 16 Mars : 20h00,"116 avenue du Président KennedyParis, France",Paris 16e,unknown,"(2.279529, 48.852149)"
406,413,Orchestre Les Violons de France et Cécile Besnard,Église de la Madeleine,Samedi 16 Mars : 20h00,"Place de la MadeleineParis, France",Paris 8e,22-33 €,"(-0.547271, 47.447784)"
407,414,Orchestre Hélios et Glen Rouxel,Église Saint-Germain-des-Prés,Samedi 16 Mars : 20h45,"Place Saint-Germain des PrésParis, France",Paris 6e,22-44 €,"(2.333399, 48.854182)"
408,415,Benjamin Grosvenor,Théâtre des Champs-Élysées,Dimanche 17 Mars : 11h00,"15 avenue MontaigneParis, France",Paris 8e,16-28 €,"(6.982606, 43.549211)"
409,417,Umberto Realino,Chapelle Saint-Rémi,Dimanche 17 Mars : 16h00,"28 rue de CharentonParis, France",Paris 12e,unknown,"(3.152776, 50.736284)"
410,418,"Mariko Akimoto, Henry Wyld et Armelle Choquard",Chapelle de l'Hôpital Lariboisière,Dimanche 17 Mars : 16h00,"2 rue Ambroise ParéParis, France",Paris 10e,unknown,"(2.353763, 48.881901)"
411,419,Timothée Marcel et Elio di Tanna,Église Saint-Éphrem,Dimanche 17 Mars : 17h00,"17 rue des CarmesParis, France",Paris 5e,16-25 €,"(0.215366, 48.018756)"
412,420,Daniel Propper,Fondation de l'Allemagne – Maison Heinrich Heine - Cité Internationale Universitaire,Dim 17 Mars : 17h00,"27 boulevard JourdanParis, France",Paris 14e,unknown,"(3.230885, 43.349328)"
413,421,Orane Donnadieu,Église Saint-Éphrem,Lundi 18 Mars : 19h30,"17 rue des CarmesParis, France",Paris 5e,16-25 €,"(0.215366, 48.018756)"
414,422,Bach : Passion selon saint Jean,Grande salle Pierre Boulez - Philharmonie de Paris,Lundi 18 Mars : 20h00,"221 avenue Jean-JaurèsParis, France",Paris 19e,unknown,"(-1.658612, 43.400892)"
415,424,Julie Fuchs et Alphonse Cemin,Athénée Théâtre Louis-Jouvet,Lundi 18 Mars : 20h00,"7 rue Boudreau Square de l'Opéra Louis-JouvetParis, France",Paris 9e,24-31 €,"(2.329072, 48.87183)"
416,425,Elio di Tanna,Église Saint-Éphrem,Mercredi 20 Mars : 19h30,"17 rue des CarmesParis, France",Paris 5e,16-25 €,"(0.215366, 48.018756)"
417,426,Orchestre de chambre de Paris et Nicolas Altstaedt,Théâtre des Champs-Élysées,Mercredi 20 Mars : 20h00,"15 avenue MontaigneParis, France",Paris 8e,15-52 €,"(6.982606, 43.549211)"
418,427,Chœur Éphata,Église Saint-Roch,Mercredi 20 Mars : 20h30,"296 rue Saint-HonoréParis, France",Paris 1er,unknown,"(55.455651, -21.294444)"
419,428,Orchestre du CRR de Paris et Aristo Sham,Salle Gaveau,Mercredi 20 Mars : 20h30,"45 rue La BoétieParis, France",Paris 8e,unknown,"(3.027637, 47.177018)"
420,429,« La Damnation de Faust » de Berlioz,Théâtre des Champs-Élysées,Jeudi 21 Mars : 19h30,"15 avenue MontaigneParis, France",Paris 8e,unknown,"(6.982606, 43.549211)"
421,430,Orchestre de la Musique de l'Air et de l'Espace et Paul Meyer,Cathédrale Saint-Louis-des-Invalides - Hôtel National des Invalides,Jeudi 21 Mars : 20h00,"129 rue de Grenelle Hôtel National des InvalidesParis, France",Paris 7e,unknown,"(4.662361, 46.614745)"
422,431,Maxime Sauze,Église Saint-Éphrem,Jeudi 21 Mars : 20h00,"17 rue des CarmesParis, France",Paris 5e,16-25 €,"(0.215366, 48.018756)"
423,432,Bach : Passion selon saint Matthieu,Théâtre des Champs-Élysées,Vendredi 22 Mars : 19h30,"15 avenue MontaigneParis, France",Paris 8e,unknown,"(6.982606, 43.549211)"
424,433,Maestro !,Opéra Comique,Vendredi 22 Mars : 19h30,"1 place BoïeldieuParis, France",Paris 2e,unknown,"(-0.370409, 49.222875)"
425,434,Czech Philharmonic et Pablo Ferrández,Grande salle Pierre Boulez - Philharmonie de Paris,Vendredi 22 Mars : 20h00,"221 avenue Jean-JaurèsParis, France",Paris 19e,unknown,"(-1.658612, 43.400892)"
426,435,Salon Poulenc,Amphithéâtre - Cité de la Musique-Philharmonie,Vendredi 22 Mars : 20h00,"221 avenue Jean-JaurèsParis, France",Paris 19e,unknown,"(-1.658612, 43.400892)"
427,436,Concerto contre piano et orchestre,Athénée Théâtre Louis-Jouvet,"Vendredi 22 Mars : 20h00, Samedi 23 Mars : 20h00, Dimanche 24 Mars : 16h00","7 rue Boudreau Square de l'Opéra Louis-JouvetParis, France",Paris 9e,15-40 €,"(2.329072, 48.87183)"
428,437,America !,Maison de la Radio et de la Musique,Vendredi 22 Mars : 20h00,"116 avenue du Président KennedyParis, France",Paris 16e,unknown,"(2.279529, 48.852149)"
429,438,Pascal Mantin,Église Saint-Éphrem,Vendredi 22 Mars : 20h00,"17 rue des CarmesParis, France",Paris 5e,16-25 €,"(0.215366, 48.018756)"
430,439,Orchestre Hélios et Chœur Hélios éphémère,Église Saint-Louis-en-l'Île,Ven 22 Mars : 20h45,"19 bis rue Saint-Louis-en-l'ÎleParis, France",Paris 4e,22-44 €,"(2.357978, 48.85127)"
431,440,Légendes,Grande salle Pierre Boulez - Philharmonie de Paris,Samedi 23 Mars : 15h00,"221 avenue Jean-JaurèsParis, France",Paris 19e,unknown,"(-1.658612, 43.400892)"
432,441,Thibaut Maudry et Adrien Polycarpe,Église Saint-Éphrem,Samedi 23 Mars : 18h00,"17 rue des CarmesParis, France",Paris 5e,16-25 €,"(0.215366, 48.018756)"
433,443,Les grandes voix lyriques d’Afrique,Théâtre des Champs-Élysées,Samedi 23 Mars : 20h00,"15 avenue MontaigneParis, France",Paris 8e,unknown,"(6.982606, 43.549211)"
434,444,Czech Philharmonic et Bertrand Chamayou ,Grande salle Pierre Boulez - Philharmonie de Paris,Samedi 23 Mars : 20h00,"221 avenue Jean-JaurèsParis, France",Paris 19e,unknown,"(-1.658612, 43.400892)"
435,445,Voyage au pays de Maurice Ravel,Opéra Comique,Samedi 23 Mars : 20h00,"1 place BoïeldieuParis, France",Paris 2e,unknown,"(-0.370409, 49.222875)"
436,446,Orchestre Les Violons de France et Cécile Besnard,Église de la Madeleine,Samedi 23 Mars : 20h00,"Place de la MadeleineParis, France",Paris 8e,22-33 €,"(-0.547271, 47.447784)"
437,447,"Orchestre national d'Île-de-France, Shani Diluka et Séphora Pondi",Le POC,Samedi 23 Mars : 20h30,"Parvis des ArtsParis, France",Alfortville,19-24 €,"(2.358954, 48.857884)"
438,448,Orchestre Hélios et Glen Rouxel,Église Saint-Germain-des-Prés,Samedi 23 Mars : 20h45,"Place Saint-Germain des PrésParis, France",Paris 6e,22-44 €,"(2.333399, 48.854182)"
439,449,Les Matins du National,Maison de la Radio et de la Musique,Dimanche 24 Mars : 11h00,"116 avenue du Président KennedyParis, France",Paris 16e,unknown,"(2.279529, 48.852149)"
440,451,Renaud Capuçon et Alexandre Kantorow,Grande salle Pierre Boulez - Philharmonie de Paris,Dimanche 24 Mars : 16h00,"221 avenue Jean-JaurèsParis, France",Paris 19e,unknown,"(-1.658612, 43.400892)"
441,452,Remi Masunaga,Église Saint-Éphrem,Dimanche 24 Mars : 16h30,"17 rue des CarmesParis, France",Paris 5e,16-25 €,"(0.215366, 48.018756)"
442,453,Josquin Otal,La Scala Paris,Dimanche 24 Mars : 17h00,"13 boulevard de StrasbourgParis, France",Paris 10e,unknown,"(-0.755206, 48.060904)"
443,454,Violette Erhart,Comédie Nation,Dimanche 24 Mars : 19h00,"77 rue de MontreuilParis, France",Paris 11e,16-22 €,"(2.349828, 51.025706)"
444,455,Le Chevalier de Saint-George,Grand Salon du Musée de l'Armée - Musée de l'Armée,Lundi 25 Mars : 12h15,"129 rue de GrenelleParis, France",Paris 7e,unknown,"(2.953683, 50.48805)"
445,456,Les Siècles,Théâtre des Champs-Élysées,Lundi 25 Mars : 14h00,"15 avenue MontaigneParis, France",Paris 8e,unknown,"(6.982606, 43.549211)"
446,457,"Les Siècles, Marie-Nicole Lemieux et Andrew Staples",Théâtre des Champs-Élysées,Lundi 25 Mars : 20h00,"15 avenue MontaigneParis, France",Paris 8e,24-61 €,"(6.982606, 43.549211)"
447,458,Les Immortels,Grande salle Pierre Boulez - Philharmonie de Paris,Lundi 25 Mars : 20h00,"221 avenue Jean-JaurèsParis, France",Paris 19e,unknown,"(-1.658612, 43.400892)"
448,459,Florestan vs Eusebius,Théâtre des Bouffes du Nord,Lundi 25 Mars : 20h00,"37 bis bd de la ChapelleParis, France",Paris 10e,unknown,"(-0.755206, 48.060904)"
449,460,Natasha Kadyrova,Église Saint-Éphrem,Lundi 25 Mars : 20h00,"17 rue des CarmesParis, France",Paris 5e,16-25 €,"(0.215366, 48.018756)"
450,461,Alexander Gadjiev,Salle Gaveau,Lundi 25 Mars : 20h30,"45 rue La BoétieParis, France",Paris 8e,unknown,"(3.027637, 47.177018)"
