,nom,etablissement,Date,adresse,commune,prix
161,Krzysztof Michalski,Église Saint-Éphrem,Vendredi 19 Janvier : 20h00,221 avenue Jean-Jaurès,Paris 19e,16-25 €
162,Orchestre Les Violons de France,Église de la Madeleine,"Vendredi 19 Janvier : 20h30, Mardi 23 Janvier : 20h30",221 avenue Jean-Jaurès,Paris 19e,22-33 €
163,Marie Dumas,Église Saint-Pierre de Montmartre,Samedi 20 Janvier : 12h00,221 avenue Jean-Jaurès,Paris 19e,unknown
164,Empereur,Grande salle Pierre Boulez - Philharmonie de Paris,Samedi 20 Janvier : 15h00,221 avenue Jean-Jaurès,Paris 19e,unknown
165,Ensemble Beata Musica,Église évangélique de Paris-Luxembourg,Samedi 20 Janvier : 16h00,76 rue de la Verrerie,Paris 4e,unknown
166,Chœur du cours Florent,Église de la Madeleine,Samedi 20 Janvier : 16h00,76 rue de la Verrerie,Paris 4e,unknown
167,Pascal Mantin,Église Saint-Éphrem,Samedi 20 Janvier : 17h00,76 rue de la Verrerie,Paris 4e,16-25 €
168,Requiem solaire,Théâtre de l'Aquarium - Cartoucherie,Samedi 20 Janvier : 18h00,76 rue de la Verrerie,Paris 4e,unknown
169,Romantiques allemands,Église réformée de Pentemont,Samedi 20 Janvier : 18h00,76 rue de la Verrerie,Paris 4e,unknown
170,Jasmina Kulaglich et Aurelienne Brauner,Conservatoire Rachmaninoff,Samedi 20 Janvier : 19h00,76 rue de la Verrerie,Paris 4e,unknown
171,Mahler Chamber Orchestra et Yuja Wang ,Grande salle Pierre Boulez - Philharmonie de Paris,Samedi 20 Janvier : 20h00,76 rue de la Verrerie,Paris 4e,unknown
172,Quatuor Jérusalem,Salle des concerts - Cité de la Musique-Philharmonie,Samedi 20 Janvier : 20h00,76 rue de la Verrerie,Paris 4e,unknown
173,Bertrand Cervera,Église Saint-Germain-des-Prés,Samedi 20 Janvier : 20h30,76 rue de la Verrerie,Paris 4e,unknown
174,Orchestre Hélios et Glen Rouxel,Église de la Madeleine,Samedi 20 Janvier : 20h45,76 rue de la Verrerie,Paris 4e,22-44 €
