nom,etablissement,Date,adresse,commune,prix,coordonnees,prix min,prix max,prix unique,prix moyen
Chorus Line #3,Maison de la Radio et de la Musique,['Samedi 9 Mars : 20h00'],"116 avenue du Président Kennedy, Paris, France",Paris 16e,unknown,"(2.279529, 48.852149)",,,unknown,unknown
Orchestre Hélios et Chœur Hélios éphémère,Église de la Madeleine,['Samedi 9 Mars : 20h45'],"Place de la Madeleine, Paris, France",Paris 8e,22-44 €,"(2.324455, 48.870062)",22.0,44.0,,33.0
Maxim Emelyanychev et Aylen Pritchin,Théâtre des Champs-Élysées,['Dimanche 10 Mars : 11h00'],"15 avenue Montaigne, Paris, France",Paris 8e,16-28 €,"(2.303279, 48.865672)",16.0,28.0,,22.0
Capriccio,Opéra Garnier,['Dimanche 10 Mars : 12h00'],"place de l'Opéra, Paris, France",Paris 9e,39 €,"(2.332168, 48.871117)",,,39.0,39.0
London Symphony Orchestra et Isabelle Faust,Grande salle Pierre Boulez - Philharmonie de Paris,['Dimanche 10 Mars : 16h00'],"221 avenue Jean-Jaurès, Paris, France",Paris 19e,unknown,"(2.393824, 48.889311)",,,unknown,unknown
Philhar'intime,Maison de la Radio et de la Musique,['Dimanche 10 Mars : 16h00'],"116 avenue du Président Kennedy, Paris, France",Paris 16e,unknown,"(2.279529, 48.852149)",,,unknown,unknown
Natasha Kadyrova,Église Saint-Éphrem,['Dimanche 10 Mars : 16h30'],"17 rue des Carmes, Paris, France",Paris 5e,16-25 €,"(2.347335, 48.848424)",16.0,25.0,,20.5
Charpentier : Missa Assumpta est Maria,Chapelle royale - Château de Versailles,['Dimanche 10 Mars : 17h00'],"Place d'Armes entrée par la Grille d'Honneur, Paris, France",Versailles,71-115 €,"(2.352558, 48.881934)",71.0,115.0,,93.0
Duo Maloney-Olivieri,Fondation de l'Allemagne – Maison Heinrich Heine - Cité Internationale Universitaire,['Dim 10 Mars : 17h00'],"27 boulevard Jourdan, Paris, France",Paris 14e,unknown,"(2.337324, 48.820425)",,,unknown,unknown
Maxime Sauze,Église Saint-Éphrem,['Lundi 11 Mars : 19h30'],"17 rue des Carmes, Paris, France",Paris 5e,16-25 €,"(2.347335, 48.848424)",16.0,25.0,,20.5
Orchestre symphonique de la Radio suédoise et Maria João Pires,Grande salle Pierre Boulez - Philharmonie de Paris,['Lundi 11 Mars : 20h00'],"221 avenue Jean-Jaurès, Paris, France",Paris 19e,unknown,"(2.393824, 48.889311)",,,unknown,unknown
Quella fiamma !,Château de Versailles,['Lundi 11 Mars : 20h00'],"4 boulevard de la Reine, Paris, France",Versailles,unknown,"(2.354865, 48.837227)",,,unknown,unknown
Béla par Bartók,Auditorium Patrick Devedjian - La Seine Musicale,['Mardi 12 Mars : 19h00'],"1 île Seguin, Paris, France",Boulogne-Billancourt,unknown,"(2.365269, 48.891683)",,,unknown,unknown
Orchestre national d'Île-de-France et Boris Giltburg,Grande salle Pierre Boulez - Philharmonie de Paris,['Mardi 12 Mars : 20h00'],"221 avenue Jean-Jaurès, Paris, France",Paris 19e,unknown,"(2.393824, 48.889311)",,,unknown,unknown
Duel Liszt / Thalberg,Cathédrale Saint-Louis-des-Invalides - Hôtel National des Invalides,['Mardi 12 Mars : 20h00'],"129 rue de Grenelle Hôtel National des Invalides, Paris, France",Paris 7e,unknown,"(2.312894, 48.85819)",,,unknown,unknown
Célia Oneto-Bensaïd,Auditorium de la Batterie,['Mardi 12 Mars : 20h30'],"1 rue de la Redoute, Paris, France",Guyancourt,25 €,"(-1.878433, 46.846114)",,,25.0,25.0
Louis Lortie,Salle Gaveau,['Mardi 12 Mars : 20h30'],"45 rue La Boétie, Paris, France",Paris 8e,unknown,"(2.314195, 48.873528)",,,unknown,unknown
Adrien Polycarpe,Église Saint-Éphrem,"['Mercredi 13 Mars : 19h00', ' Mardi 19 Mars : 20h00']","17 rue des Carmes, Paris, France",Paris 5e,16-25 €,"(2.347335, 48.848424)",16.0,25.0,,20.5
Rameau : L'Entretien des muses ,La Scala Paris,['Mercredi 13 Mars : 19h30'],"13 boulevard de Strasbourg, Paris, France",Paris 10e,unknown,"(2.354572, 48.870299)",,,unknown,unknown
Rachmaninov : Leningrad,Grande salle Pierre Boulez - Philharmonie de Paris,['Mercredi 13 Mars : 20h00'],"221 avenue Jean-Jaurès, Paris, France",Paris 19e,unknown,"(2.393824, 48.889311)",,,unknown,unknown
Bach / Mozart / Pärt,Maison de la Radio et de la Musique,['Mercredi 13 Mars : 20h00'],"116 avenue du Président Kennedy, Paris, France",Paris 16e,unknown,"(2.279529, 48.852149)",,,unknown,unknown
« Carmen » de Bizet,Grande salle Pierre Boulez - Philharmonie de Paris,['Jeudi 14 Mars : 20h00'],"221 avenue Jean-Jaurès, Paris, France",Paris 19e,unknown,"(2.393824, 48.889311)",,,unknown,unknown
Beethoven : Symphonie n°6,Maison de la Radio et de la Musique,['Jeudi 14 Mars : 20h00'],"116 avenue du Président Kennedy, Paris, France",Paris 16e,unknown,"(2.279529, 48.852149)",,,unknown,unknown
"Patricia Petibon : l'Amour, la Mort, la Mer",Cathédrale Saint-Louis-des-Invalides - Hôtel National des Invalides,['Jeudi 14 Mars : 20h00'],"129 rue de Grenelle Hôtel National des Invalides, Paris, France",Paris 7e,unknown,"(2.312894, 48.85819)",,,unknown,unknown
Pascal Mantin,Église Saint-Éphrem,['Vendredi 15 Mars : 20h00'],"17 rue des Carmes, Paris, France",Paris 5e,16-25 €,"(2.347335, 48.848424)",16.0,25.0,,20.5
Chœur Éphata,Église Saint-Roch,"['Vendredi 15 Mars : 20h30', ' Samedi 16 Mars : 20h30']","296 rue Saint-Honoré, Paris, France",Paris 1er,unknown,"(2.332239, 48.864954)",,,unknown,unknown
Alexis Grizard,Église Saint-Pierre de Montmartre,['Samedi 16 Mars : 12h00'],"2 rue du Mont-Cenis, Paris, France",Paris 18e,unknown,"(2.341507, 48.886708)",,,unknown,unknown
Remi Masunaga,Église Saint-Éphrem,['Samedi 16 Mars : 16h30'],"17 rue des Carmes, Paris, France",Paris 5e,16-25 €,"(2.347335, 48.848424)",16.0,25.0,,20.5
Purcell : Ode à sainte Cécile,Chapelle royale - Château de Versailles,['Samedi 16 Mars : 19h00'],"Place d'Armes entrée par la Grille d'Honneur, Paris, France",Versailles,71-115 €,"(2.352558, 48.881934)",71.0,115.0,,93.0
Stravinsky : Petrouchka,Maison de la Radio et de la Musique,['Samedi 16 Mars : 20h00'],"116 avenue du Président Kennedy, Paris, France",Paris 16e,unknown,"(2.279529, 48.852149)",,,unknown,unknown
Orchestre Les Violons de France et Cécile Besnard,Église de la Madeleine,['Samedi 16 Mars : 20h00'],"Place de la Madeleine, Paris, France",Paris 8e,22-33 €,"(2.324455, 48.870062)",22.0,33.0,,27.5
Orchestre Hélios et Glen Rouxel,Église Saint-Germain-des-Prés,['Samedi 16 Mars : 20h45'],"Place Saint-Germain des Prés, Paris, France",Paris 6e,22-44 €,"(2.333399, 48.854182)",22.0,44.0,,33.0
Benjamin Grosvenor,Théâtre des Champs-Élysées,['Dimanche 17 Mars : 11h00'],"15 avenue Montaigne, Paris, France",Paris 8e,16-28 €,"(2.303279, 48.865672)",16.0,28.0,,22.0
« La Walkyrie » de Wagner,Opéra royal - Château de Versailles,['Dimanche 17 Mars : 15h00'],"Place d'Armes entrée par la Grille d'Honneur, Paris, France",Versailles,unknown,"(2.352558, 48.881934)",,,unknown,unknown
Umberto Realino,Chapelle Saint-Rémi,['Dimanche 17 Mars : 16h00'],"28 rue de Charenton, Paris, France",Paris 12e,unknown,"(2.372224, 48.851262)",,,unknown,unknown
"Mariko Akimoto, Henry Wyld et Armelle Choquard",Chapelle de l'Hôpital Lariboisière,['Dimanche 17 Mars : 16h00'],"2 rue Ambroise Paré, Paris, France",Paris 10e,unknown,"(2.353763, 48.881901)",,,unknown,unknown
Timothée Marcel et Elio di Tanna,Église Saint-Éphrem,['Dimanche 17 Mars : 17h00'],"17 rue des Carmes, Paris, France",Paris 5e,16-25 €,"(2.347335, 48.848424)",16.0,25.0,,20.5
Daniel Propper,Fondation de l'Allemagne – Maison Heinrich Heine - Cité Internationale Universitaire,['Dim 17 Mars : 17h00'],"27 boulevard Jourdan, Paris, France",Paris 14e,unknown,"(2.337324, 48.820425)",,,unknown,unknown
Orane Donnadieu,Église Saint-Éphrem,['Lundi 18 Mars : 19h30'],"17 rue des Carmes, Paris, France",Paris 5e,16-25 €,"(2.347335, 48.848424)",16.0,25.0,,20.5
Bach : Passion selon saint Jean,Grande salle Pierre Boulez - Philharmonie de Paris,['Lundi 18 Mars : 20h00'],"221 avenue Jean-Jaurès, Paris, France",Paris 19e,unknown,"(2.393824, 48.889311)",,,unknown,unknown
Beethoven : L'Empereur,Opéra royal - Château de Versailles,['Lundi 18 Mars : 20h00'],"Place d'Armes entrée par la Grille d'Honneur, Paris, France",Versailles,unknown,"(2.352558, 48.881934)",,,unknown,unknown
Julie Fuchs et Alphonse Cemin,Athénée Théâtre Louis-Jouvet,['Lundi 18 Mars : 20h00'],"7 rue Boudreau Square de l'Opéra Louis-Jouvet, Paris, France",Paris 9e,24-31 €,"(2.329072, 48.87183)",24.0,31.0,,27.5
Elio di Tanna,Église Saint-Éphrem,['Mercredi 20 Mars : 19h30'],"17 rue des Carmes, Paris, France",Paris 5e,16-25 €,"(2.347335, 48.848424)",16.0,25.0,,20.5
Orchestre de chambre de Paris et Nicolas Altstaedt,Théâtre des Champs-Élysées,['Mercredi 20 Mars : 20h00'],"15 avenue Montaigne, Paris, France",Paris 8e,15-52 €,"(2.303279, 48.865672)",15.0,52.0,,33.5
Chœur Éphata,Église Saint-Roch,['Mercredi 20 Mars : 20h30'],"296 rue Saint-Honoré, Paris, France",Paris 1er,unknown,"(2.332239, 48.864954)",,,unknown,unknown
Orchestre du CRR de Paris et Aristo Sham,Salle Gaveau,['Mercredi 20 Mars : 20h30'],"45 rue La Boétie, Paris, France",Paris 8e,unknown,"(2.314195, 48.873528)",,,unknown,unknown
« La Damnation de Faust » de Berlioz,Théâtre des Champs-Élysées,['Jeudi 21 Mars : 19h30'],"15 avenue Montaigne, Paris, France",Paris 8e,unknown,"(2.303279, 48.865672)",,,unknown,unknown
Orchestre de la Musique de l'Air et de l'Espace et Paul Meyer,Cathédrale Saint-Louis-des-Invalides - Hôtel National des Invalides,['Jeudi 21 Mars : 20h00'],"129 rue de Grenelle Hôtel National des Invalides, Paris, France",Paris 7e,unknown,"(2.312894, 48.85819)",,,unknown,unknown
Maxime Sauze,Église Saint-Éphrem,['Jeudi 21 Mars : 20h00'],"17 rue des Carmes, Paris, France",Paris 5e,16-25 €,"(2.347335, 48.848424)",16.0,25.0,,20.5
Bach : Passion selon saint Matthieu,Théâtre des Champs-Élysées,['Vendredi 22 Mars : 19h30'],"15 avenue Montaigne, Paris, France",Paris 8e,unknown,"(2.303279, 48.865672)",,,unknown,unknown
Maestro !,Opéra Comique,['Vendredi 22 Mars : 19h30'],"1 place Boïeldieu, Paris, France",Paris 2e,unknown,"(2.337655, 48.870671)",,,unknown,unknown
Czech Philharmonic et Pablo Ferrández,Grande salle Pierre Boulez - Philharmonie de Paris,['Vendredi 22 Mars : 20h00'],"221 avenue Jean-Jaurès, Paris, France",Paris 19e,unknown,"(2.393824, 48.889311)",,,unknown,unknown
Salon Poulenc,Amphithéâtre - Cité de la Musique-Philharmonie,['Vendredi 22 Mars : 20h00'],"221 avenue Jean-Jaurès, Paris, France",Paris 19e,unknown,"(2.393824, 48.889311)",,,unknown,unknown
Concerto contre piano et orchestre,Athénée Théâtre Louis-Jouvet,"['Vendredi 22 Mars : 20h00', ' Samedi 23 Mars : 20h00', ' Dimanche 24 Mars : 16h00']","7 rue Boudreau Square de l'Opéra Louis-Jouvet, Paris, France",Paris 9e,15-40 €,"(2.329072, 48.87183)",15.0,40.0,,27.5
America !,Maison de la Radio et de la Musique,['Vendredi 22 Mars : 20h00'],"116 avenue du Président Kennedy, Paris, France",Paris 16e,unknown,"(2.279529, 48.852149)",,,unknown,unknown
Pascal Mantin,Église Saint-Éphrem,['Vendredi 22 Mars : 20h00'],"17 rue des Carmes, Paris, France",Paris 5e,16-25 €,"(2.347335, 48.848424)",16.0,25.0,,20.5
Orchestre Hélios et Chœur Hélios éphémère,Église Saint-Louis-en-l'Île,['Ven 22 Mars : 20h45'],"19 bis rue Saint-Louis-en-l'Île, Paris, France",Paris 4e,22-44 €,"(2.357978, 48.85127)",22.0,44.0,,33.0
Légendes,Grande salle Pierre Boulez - Philharmonie de Paris,['Samedi 23 Mars : 15h00'],"221 avenue Jean-Jaurès, Paris, France",Paris 19e,unknown,"(2.393824, 48.889311)",,,unknown,unknown
Thibaut Maudry et Adrien Polycarpe,Église Saint-Éphrem,['Samedi 23 Mars : 18h00'],"17 rue des Carmes, Paris, France",Paris 5e,16-25 €,"(2.347335, 48.848424)",16.0,25.0,,20.5
Bach : cantates,Chapelle royale - Château de Versailles,['Samedi 23 Mars : 19h00'],"Place d'Armes entrée par la Grille d'Honneur, Paris, France",Versailles,71-115 €,"(2.352558, 48.881934)",71.0,115.0,,93.0
Les grandes voix lyriques d’Afrique,Théâtre des Champs-Élysées,['Samedi 23 Mars : 20h00'],"15 avenue Montaigne, Paris, France",Paris 8e,unknown,"(2.303279, 48.865672)",,,unknown,unknown
Czech Philharmonic et Bertrand Chamayou ,Grande salle Pierre Boulez - Philharmonie de Paris,['Samedi 23 Mars : 20h00'],"221 avenue Jean-Jaurès, Paris, France",Paris 19e,unknown,"(2.393824, 48.889311)",,,unknown,unknown
Voyage au pays de Maurice Ravel,Opéra Comique,['Samedi 23 Mars : 20h00'],"1 place Boïeldieu, Paris, France",Paris 2e,unknown,"(2.337655, 48.870671)",,,unknown,unknown
Orchestre Les Violons de France et Cécile Besnard,Église de la Madeleine,['Samedi 23 Mars : 20h00'],"Place de la Madeleine, Paris, France",Paris 8e,22-33 €,"(2.324455, 48.870062)",22.0,33.0,,27.5
"Orchestre national d'Île-de-France, Shani Diluka et Séphora Pondi",Le POC,['Samedi 23 Mars : 20h30'],"Parvis des Arts, Paris, France",Alfortville,19-24 €,"(2.358954, 48.857884)",19.0,24.0,,21.5
Orchestre Hélios et Glen Rouxel,Église Saint-Germain-des-Prés,['Samedi 23 Mars : 20h45'],"Place Saint-Germain des Prés, Paris, France",Paris 6e,22-44 €,"(2.333399, 48.854182)",22.0,44.0,,33.0
Les Matins du National,Maison de la Radio et de la Musique,['Dimanche 24 Mars : 11h00'],"116 avenue du Président Kennedy, Paris, France",Paris 16e,unknown,"(2.279529, 48.852149)",,,unknown,unknown
Haendel : Israël en Égypte,Chapelle royale - Château de Versailles,['Dimanche 24 Mars : 15h00'],"Place d'Armes entrée par la Grille d'Honneur, Paris, France",Versailles,117-149 €,"(2.352558, 48.881934)",117.0,149.0,,133.0
Renaud Capuçon et Alexandre Kantorow,Grande salle Pierre Boulez - Philharmonie de Paris,['Dimanche 24 Mars : 16h00'],"221 avenue Jean-Jaurès, Paris, France",Paris 19e,unknown,"(2.393824, 48.889311)",,,unknown,unknown
Remi Masunaga,Église Saint-Éphrem,['Dimanche 24 Mars : 16h30'],"17 rue des Carmes, Paris, France",Paris 5e,16-25 €,"(2.347335, 48.848424)",16.0,25.0,,20.5
Josquin Otal,La Scala Paris,['Dimanche 24 Mars : 17h00'],"13 boulevard de Strasbourg, Paris, France",Paris 10e,unknown,"(2.354572, 48.870299)",,,unknown,unknown
Violette Erhart,Comédie Nation,['Dimanche 24 Mars : 19h00'],"77 rue de Montreuil, Paris, France",Paris 11e,16-22 €,"(2.431276, 48.85716)",16.0,22.0,,19.0
Le Chevalier de Saint-George,Grand Salon du Musée de l'Armée - Musée de l'Armée,['Lundi 25 Mars : 12h15'],"129 rue de Grenelle, Paris, France",Paris 7e,unknown,"(2.312894, 48.85819)",,,unknown,unknown
Les Siècles,Théâtre des Champs-Élysées,['Lundi 25 Mars : 14h00'],"15 avenue Montaigne, Paris, France",Paris 8e,unknown,"(2.303279, 48.865672)",,,unknown,unknown
"Les Siècles, Marie-Nicole Lemieux et Andrew Staples",Théâtre des Champs-Élysées,['Lundi 25 Mars : 20h00'],"15 avenue Montaigne, Paris, France",Paris 8e,24-61 €,"(2.303279, 48.865672)",24.0,61.0,,42.5
Les Immortels,Grande salle Pierre Boulez - Philharmonie de Paris,['Lundi 25 Mars : 20h00'],"221 avenue Jean-Jaurès, Paris, France",Paris 19e,unknown,"(2.393824, 48.889311)",,,unknown,unknown
Florestan vs Eusebius,Théâtre des Bouffes du Nord,['Lundi 25 Mars : 20h00'],"37 bis bd de la Chapelle, Paris, France",Paris 10e,unknown,"(2.358623, 48.884177)",,,unknown,unknown
Natasha Kadyrova,Église Saint-Éphrem,['Lundi 25 Mars : 20h00'],"17 rue des Carmes, Paris, France",Paris 5e,16-25 €,"(2.347335, 48.848424)",16.0,25.0,,20.5
Alexander Gadjiev,Salle Gaveau,['Lundi 25 Mars : 20h30'],"45 rue La Boétie, Paris, France",Paris 8e,unknown,"(2.314195, 48.873528)",,,unknown,unknown
« Atys » de Lully,Théâtre des Champs-Élysées,['Mardi 26 Mars : 19h30'],"15 avenue Montaigne, Paris, France",Paris 8e,28-89 €,"(2.303279, 48.865672)",28.0,89.0,,58.5
Adrien Polycarpe,Église Saint-Éphrem,['Mardi 26 Mars : 19h30'],"17 rue des Carmes, Paris, France",Paris 5e,16-25 €,"(2.347335, 48.848424)",16.0,25.0,,20.5
Jubilé du National,Grande salle Pierre Boulez - Philharmonie de Paris,['Mardi 26 Mars : 20h00'],"221 avenue Jean-Jaurès, Paris, France",Paris 19e,unknown,"(2.393824, 48.889311)",,,unknown,unknown
Bach : Passion selon saint Jean,Auditorium Patrick Devedjian - La Seine Musicale,['Mardi 26 Mars : 20h00'],"1 île Seguin, Paris, France",Boulogne-Billancourt,unknown,"(2.365269, 48.891683)",,,unknown,unknown
Simon Ghraichy et Marc-André,Salle Gaveau,['Mardi 26 Mars : 20h30'],"45 rue La Boétie, Paris, France",Paris 8e,unknown,"(2.314195, 48.873528)",,,unknown,unknown
Nikolaï Lugansky,Théâtre des Champs-Élysées,['Mercredi 27 Mars : 20h00'],"15 avenue Montaigne, Paris, France",Paris 8e,26-70 €,"(2.303279, 48.865672)",26.0,70.0,,48.0
Concerto contre piano et orchestre,Athénée Théâtre Louis-Jouvet,"['Mercredi 27 Mars : 20h00', ' Jeudi 28 Mars : 20h00', ' Vendredi 29 Mars : 20h00']","7 rue Boudreau Square de l'Opéra Louis-Jouvet, Paris, France",Paris 9e,15-40 €,"(2.329072, 48.87183)",15.0,40.0,,27.5
Orane Donnadieu,Église Saint-Éphrem,['Mercredi 27 Mars : 20h00'],"17 rue des Carmes, Paris, France",Paris 5e,16-25 €,"(2.347335, 48.848424)",16.0,25.0,,20.5
Couperin : Leçons de Ténèbres,Chapelle royale - Château de Versailles,['Mercredi 27 Mars : 21h00'],"Place d'Armes entrée par la Grille d'Honneur, Paris, France",Versailles,71-115 €,"(2.352558, 48.881934)",71.0,115.0,,93.0
Matthias Goerne et Evgeny Kissin,Théâtre des Champs-Élysées,['Jeudi 28 Mars : 20h00'],"15 avenue Montaigne, Paris, France",Paris 8e,unknown,"(2.303279, 48.865672)",,,unknown,unknown
"Bach, de l'abîme à la lumière",Auditorium Patrick Devedjian - La Seine Musicale,"['Jeudi 28 Mars : 20h00', ' Vendredi 29 Mars : 19h30']","1 île Seguin, Paris, France",Boulogne-Billancourt,unknown,"(2.365269, 48.891683)",,,unknown,unknown
Beethoven : Symphonie n°3,Maison de la Radio et de la Musique,['Jeudi 28 Mars : 20h00'],"116 avenue du Président Kennedy, Paris, France",Paris 16e,unknown,"(2.279529, 48.852149)",,,unknown,unknown
Wagner : Le Ring sans paroles,Maison de la Radio et de la Musique,['Vendredi 29 Mars : 20h00'],"116 avenue du Président Kennedy, Paris, France",Paris 16e,unknown,"(2.279529, 48.852149)",,,unknown,unknown
Jonathan Dunford et Jérôme Chaboseau,Espace Jules Vallès,['Vendredi 29 Mars : 20h00'],"72 avenue Félix Faure, Paris, France",Paris 15e,unknown,"(2.285064, 48.840074)",,,unknown,unknown
Orchestre Hélios et Glen Rouxel,Église Saint-Germain-des-Prés,['Vendredi 29 Mars : 20h45'],"Place Saint-Germain des Prés, Paris, France",Paris 6e,22-44 €,"(2.333399, 48.854182)",22.0,44.0,,33.0
Stabat Mater pour deux castrats,Chapelle royale - Château de Versailles,['Vendredi 29 Mars : 21h00'],"Place d'Armes entrée par la Grille d'Honneur, Paris, France",Versailles,unknown,"(2.352558, 48.881934)",,,unknown,unknown
Adrien Polycarpe,Église Saint-Éphrem,['Samedi 30 Mars : 16h30'],"17 rue des Carmes, Paris, France",Paris 5e,16-25 €,"(2.347335, 48.848424)",16.0,25.0,,20.5
Bach : Passion selon saint Jean,Chapelle royale - Château de Versailles,"['Samedi 30 Mars : 19h00', ' Dimanche 31 Mars : 15h00']","Place d'Armes entrée par la Grille d'Honneur, Paris, France",Versailles,100-139 €,"(2.352558, 48.881934)",100.0,139.0,,119.5
Magdalena Rebacz,Église Saint-Éphrem,['Samedi 30 Mars : 19h00'],"17 rue des Carmes, Paris, France",Paris 5e,16-25 €,"(2.347335, 48.848424)",16.0,25.0,,20.5
Jubilé du National,Maison de la Radio et de la Musique,['Samedi 30 Mars : 20h00'],"116 avenue du Président Kennedy, Paris, France",Paris 16e,unknown,"(2.279529, 48.852149)",,,unknown,unknown
Timothée Marcel et Elio di Tanna,Église Saint-Éphrem,['Dimanche 31 Mars : 18h00'],"17 rue des Carmes, Paris, France",Paris 5e,16-25 €,"(2.347335, 48.848424)",16.0,25.0,,20.5
Orchestre Les Violons de France et Cécile Besnard,Église de la Madeleine,['Dimanche 31 Mars : 20h00'],"Place de la Madeleine, Paris, France",Paris 8e,22-33 €,"(2.324455, 48.870062)",22.0,33.0,,27.5
Orchestre de l'Opéra national de Paris,Grande salle Pierre Boulez - Philharmonie de Paris,['Mardi 2 Avril : 20h00'],"221 avenue Jean-Jaurès, Paris, France",Paris 19e,unknown,"(2.393824, 48.889311)",,,unknown,unknown
Variations romantiques,Amphithéâtre - Cité de la Musique-Philharmonie,['Mardi 2 Avril : 20h00'],"221 avenue Jean-Jaurès, Paris, France",Paris 19e,unknown,"(2.393824, 48.889311)",,,unknown,unknown
"Orchestre de Paris, David Gaillard et Pascal Moraguès",Grande salle Pierre Boulez - Philharmonie de Paris,"['Mercredi 3 Avril : 20h00', ' Jeudi 4 Avril : 20h00']","221 avenue Jean-Jaurès, Paris, France",Paris 19e,unknown,"(2.393824, 48.889311)",,,unknown,unknown
"Patricia Petibon, magicienne baroque",Auditorium Patrick Devedjian - La Seine Musicale,['Jeudi 4 Avril : 20h00'],"1 île Seguin, Paris, France",Boulogne-Billancourt,unknown,"(2.365269, 48.891683)",,,unknown,unknown
Joutes de violon et de violoncelle,Cathédrale Saint-Louis-des-Invalides - Hôtel National des Invalides,['Jeudi 4 Avril : 20h00'],"129 rue de Grenelle Hôtel National des Invalides, Paris, France",Paris 7e,unknown,"(2.312894, 48.85819)",,,unknown,unknown
Fauré : Requiem,Grande salle Pierre Boulez - Philharmonie de Paris,['Vendredi 5 Avril : 20h00'],"221 avenue Jean-Jaurès, Paris, France",Paris 19e,unknown,"(2.393824, 48.889311)",,,unknown,unknown
Secret d'instrument,Musée de la Musique - Cité de la Musique-Philharmonie,['Samedi 6 Avril : 15h30'],"221 avenue Jean-Jaurès, Paris, France",Paris 19e,unknown,"(2.393824, 48.889311)",,,unknown,unknown
Bach : Messe en si,Chapelle royale - Château de Versailles,['Samedi 6 Avril : 19h00'],"Place d'Armes entrée par la Grille d'Honneur, Paris, France",Versailles,unknown,"(2.352558, 48.881934)",,,unknown,unknown
Orchestre Hélios et Glen Rouxel,Église de la Madeleine,['Samedi 6 Avril : 20h45'],"Place de la Madeleine, Paris, France",Paris 8e,22-44 €,"(2.324455, 48.870062)",22.0,44.0,,33.0
Grigory Sokolov,Théâtre des Champs-Élysées,['Lundi 8 Avril : 20h00'],"15 avenue Montaigne, Paris, France",Paris 8e,unknown,"(2.303279, 48.865672)",,,unknown,unknown
L'histoire du porte-étendard Rilke,Cathédrale Saint-Louis-des-Invalides - Hôtel National des Invalides,['Lundi 8 Avril : 20h00'],"129 rue de Grenelle Hôtel National des Invalides, Paris, France",Paris 7e,unknown,"(2.312894, 48.85819)",,,unknown,unknown
Opera Fuoco fête ses 20 ans,Théâtre des Champs-Élysées,['Mardi 9 Avril : 20h00'],"15 avenue Montaigne, Paris, France",Paris 8e,28-79 €,"(2.303279, 48.865672)",28.0,79.0,,53.5
Chorus Line #4,Maison de la Radio et de la Musique,['Mardi 9 Avril : 20h00'],"116 avenue du Président Kennedy, Paris, France",Paris 16e,unknown,"(2.279529, 48.852149)",,,unknown,unknown
Nobuyuki Tsujii,Théâtre des Champs-Élysées,['Mercredi 10 Avril : 20h00'],"15 avenue Montaigne, Paris, France",Paris 8e,26-70 €,"(2.303279, 48.865672)",26.0,70.0,,48.0
Orchestre de Paris et Chœur de l'Orchestre de Paris,Salle des concerts - Cité de la Musique-Philharmonie,['Mercredi 10 Avril : 20h00'],"221 rue Jean-Jaurès, Paris, France",Paris 19e,unknown,"(2.393824, 48.889311)",,,unknown,unknown
Siblius : Symphonies n°1 et 2,Maison de la Radio et de la Musique,['Mercredi 10 Avril : 20h00'],"116 avenue du Président Kennedy, Paris, France",Paris 16e,unknown,"(2.279529, 48.852149)",,,unknown,unknown
Liat Cohen,ECUJE,['Mercredi 10 Avril : 20h00'],"119 rue La Fayette, Paris, France",Paris 10e,unknown,"(2.352993, 48.878354)",,,unknown,unknown
Orchestre de chambre de Paris et Marie Jacquot,Théâtre des Champs-Élysées,['Jeudi 11 Avril : 20h00'],"15 avenue Montaigne, Paris, France",Paris 8e,15-52 €,"(2.303279, 48.865672)",15.0,52.0,,33.5
 Orchestre de Paris et solistes,Salle des concerts - Cité de la Musique-Philharmonie,['Jeudi 11 Avril : 20h00'],"221 rue Jean-Jaurès, Paris, France",Paris 19e,unknown,"(2.393824, 48.889311)",,,unknown,unknown
Siblius : Symphonies n°3 et 4,Maison de la Radio et de la Musique,['Jeudi 11 Avril : 20h00'],"116 avenue du Président Kennedy, Paris, France",Paris 16e,unknown,"(2.279529, 48.852149)",,,unknown,unknown
Andreï Korobeinikov,Théâtre des Champs-Élysées,['Vendredi 12 Avril : 20h00'],"15 avenue Montaigne, Paris, France",Paris 8e,24-61 €,"(2.303279, 48.865672)",24.0,61.0,,42.5
"Siblius : Symphonies n°5, 6 et 7",Maison de la Radio et de la Musique,['Vendredi 12 Avril : 20h00'],"116 avenue du Président Kennedy, Paris, France",Paris 16e,unknown,"(2.279529, 48.852149)",,,unknown,unknown
Orchestre Hélios et Chœur Hélios éphémère,Église de la Madeleine,['Vendredi 12 Avril : 20h45'],"Place de la Madeleine, Paris, France",Paris 8e,22-44 €,"(2.324455, 48.870062)",22.0,44.0,,33.0
Taiwan Phiharmonic Orchestra et Khatia Buniatishvili,Théâtre des Champs-Élysées,['Samedi 13 Avril : 20h00'],"15 avenue Montaigne, Paris, France",Paris 8e,33-93 €,"(2.303279, 48.865672)",33.0,93.0,,63.0
Orchestre Hélios et Glen Rouxel,Église Saint-Germain-des-Prés,['Samedi 13 Avril : 20h45'],"Place Saint-Germain des Prés, Paris, France",Paris 6e,22-44 €,"(2.333399, 48.854182)",22.0,44.0,,33.0
Elsa Dreisig et Romain Louveau,Athénée Théâtre Louis-Jouvet,['Lundi 15 Avril : 20h00'],"7 rue Boudreau Square de l'Opéra Louis-Jouvet, Paris, France",Paris 9e,24-31 €,"(2.329072, 48.87183)",24.0,31.0,,27.5
