nom,etablissement,Date,adresse,commune,prix,coordonnees,prix min,prix max,prix unique,prix moyen
Antonin Bonnet,Église Saint-Éphrem,['Vendredi 12 Janvier : 20h00'],"17 rue des Carmes, Paris, France",Paris 5e,16-25 €,"(2.347335, 48.848424)",16.0,25.0,,20.5
Orchestre de la Bastille,Église évangélique de Paris-Luxembourg,"['Vendredi 12 Janvier : 20h30', ' Samedi 13 Janvier : 20h30']","58 rue Madame, Paris, France",Paris 6e,unknown,"(2.331511, 48.847491)",,,unknown,unknown
Clémence Guerrand,Salle Cortot,['Vendredi 12 Janvier : 20h30'],"78 rue Cardinet, Paris, France",Paris 17e,unknown,"(2.309259, 48.884204)",,,unknown,unknown
"Mathieu Salama, airs pour Farinelli",Église Sainte-Élisabeth-de-Hongrie,['Samedi 13 Janvier : 16h00'],"195 rue du Temple, Paris, France",Paris 3e,20-28 €,"(2.360839, 48.866005)",20.0,28.0,,24.0
Axel Lebas,Église Saint-Thomas-d'Aquin,['Samedi 13 Janvier : 16h00'],"1 place Saint-Thomas-d'Aquin, Paris, France",Paris 7e,unknown,"(2.327577, 48.856099)",,,unknown,unknown
Natasha Kadyrova,Église Saint-Éphrem,['Samedi 13 Janvier : 16h30'],"17 rue des Carmes, Paris, France",Paris 5e,16-25 €,"(2.347335, 48.848424)",16.0,25.0,,20.5
Bruno Helstroffer,La Scala Paris,['Samedi 13 Janvier : 19h30'],"13 boulevard de Strasbourg, Paris, France",Paris 10e,unknown,"(2.354572, 48.870299)",,,unknown,unknown
Chicago Symphony Orchestra,Grande salle Pierre Boulez - Philharmonie de Paris,['Samedi 13 Janvier : 20h00'],"221 avenue Jean-Jaurès, Paris, France",Paris 19e,unknown,"(2.393824, 48.889311)",,,unknown,unknown
Orchestre Les Violons de France et Cécile Besnard,Église de la Madeleine,['Samedi 13 Janvier : 20h00'],"Place de la Madeleine, Paris, France",Paris 8e,22-33 €,"(2.324455, 48.870062)",22.0,33.0,,27.5
Au pays qui te ressemble,Archives nationales,['Samedi 13 Janvier : 20h00'],"60 rue des Francs-Bourgeois Hôtel de Soubise, Paris, France",Paris 3e,unknown,"(2.357272, 48.859963)",,,unknown,unknown
Orchestre Hélios et Glen Rouxel,Église Saint-Germain-des-Prés,['Samedi 13 Janvier : 20h45'],"Place Saint-Germain des Prés, Paris, France",Paris 6e,22-44 €,"(2.333399, 48.854182)",22.0,44.0,,33.0
Roger Muraro,Théâtre des Champs-Élysées,['Dimanche 14 Janvier : 11h00'],"15 avenue Montaigne, Paris, France",Paris 8e,16-28 €,"(2.303279, 48.865672)",16.0,28.0,,22.0
Georges Bériachvili,Théâtre de l'Île Saint-Louis,['Dim 14 Janvier : 15h00'],"39 quai d'Anjou, Paris, France",Paris 4e,unknown,"(2.357319, 48.852299)",,,unknown,unknown
Fauré : Requiem,Église Saint-Roch,['Dimanche 14 Janvier : 15h00'],"296 rue Saint-Honoré, Paris, France",Paris 1er,unknown,"(2.332239, 48.864954)",,,unknown,unknown
Quatuor Casals,Grande salle Pierre Boulez - Philharmonie de Paris,['Dimanche 14 Janvier : 16h00'],"221 avenue Jean-Jaurès, Paris, France",Paris 19e,unknown,"(2.393824, 48.889311)",,,unknown,unknown
Philhar'intime,Maison de la Radio et de la Musique,['Dimanche 14 Janvier : 16h00'],"116 avenue du Président Kennedy, Paris, France",Paris 16e,unknown,"(2.279529, 48.852149)",,,unknown,unknown
"Mariko Akimoto, Henry Wyld et Armelle Choquard",Église évangélique de Courbevoie,['Dimanche 14 Janvier : 16h00'],"12/14 rue Kilford, Paris, France",Courbevoie,unknown,"(2.251728, 48.900269)",,,unknown,unknown
Jae Young Lim et Marie Vallin,Cathédrale Sainte-Geneviève,['Dimanche 14 Janvier : 16h00'],"28 rue de l'Église, Paris, France",Nanterre,unknown,"(2.286545, 48.844691)",,,unknown,unknown
Chœur grégorien de Brie-Comte-Robert et Michèle Guyard,Église Saint-Jean-Bosco,['Dimanche 14 Janvier : 16h00'],"79 rue Alexandre-Dumas, Paris, France",Paris 20e,unknown,"(2.398182, 48.855013)",,,unknown,unknown
Chœur de chambre Arthémys,Église Saint-Merry,['Dimanche 14 Janvier : 16h00'],"76 rue de la Verrerie, Paris, France",Paris 4e,unknown,"(2.350691, 48.858888)",,,unknown,unknown
Lorenzo Cipriani,Église Notre-Dame-de-Compassion,['Dimanche 14 Janvier : 16h30'],"Place du Général-Koenig, Paris, France",Paris 17e,unknown,"(2.284212, 48.881029)",,,unknown,unknown
Antonin Bonnet et Krzysztof Michalski,Église Saint-Éphrem,['Dimanche 14 Janvier : 17h00'],"17 rue des Carmes, Paris, France",Paris 5e,16-25 €,"(2.347335, 48.848424)",16.0,25.0,,20.5
