Unnamed: 0;nom;etablissement;Date;adresse;commune;prix;date début;date fin;prix min;prix max;prix unique;prix moyen;Coordonnees
217;Le Jeu de l'amour et du hasard;Théâtre du Lucernaire;Du 24 janvier 2024 au 24 mars 2024;53 rue Notre-Dame-des-Champs;Paris 6e;16-33 €;2024-01-24;2024-03-24;16.0;33.0;;24.5;(48.844242, 2.330403)
218;Lumières du corps;Théâtre du Soleil - Cartoucherie;Du 10 janvier 2024 au 26 janvier 2024;Route du Champ de Manœuvre;Paris 12e;16-22 €;2024-01-10;2024-01-26;16.0;22.0;;19.0;(48.835062, 2.450645)
219;Le Testament Médicis;Théâtre Lepic;Du 16 juin 2023 au 7 janvier 2024;1 avenue Junot;Paris 18e;24-42 €;2023-06-16;2024-01-07;24.0;42.0;;33.0;(48.887636, 2.337265)
220;Le Palier;Théâtre La Croisée des Chemins;Du 4 novembre 2023 au 30 décembre 2023;120 bis rue Haxo;Paris 19e;13-22 €;2023-11-04;2023-12-30;13.0;22.0;;17.5;(48.876727, 2.402335)
221;Les Travailleurs de la mer;Théâtre du Lucernaire;Du 24 janvier 2024 au 17 mars 2024;53 rue Notre-Dame-des-Champs;Paris 6e;16-33 €;2024-01-24;2024-03-17;16.0;33.0;;24.5;(48.844242, 2.330403)
222;Fly me to the moon;Studio Hébertot;Du 4 novembre 2023 au 27 janvier 2024;78 bis bd des Batignolles;Paris 17e;16-22 €;2023-11-04;2024-01-27;16.0;22.0;;19.0;(48.884747, 2.321188)
223;Jamais seul;La Manufacture des Abbesses;Du 6 décembre 2023 au 13 janvier 2024;7 rue Véron;Paris 18e;11-29 €;2023-12-06;2024-01-13;11.0;29.0;;20.0;(48.884393, 2.336711)
224;Le Malade imaginaire;Espace Marais;Du 24 septembre 2023 au 7 janvier 2024;22 rue Beautreillis;Paris 4e;13-37 €;2023-09-24;2024-01-07;13.0;37.0;;25.0;(48.853412, 2.364236)
225;Un moment avec Victor Hugo;Théâtre du Nord-Ouest;Du 23 octobre 2023 au 2 janvier 2024;13 rue du faubourg Montmartre;Paris 9e;unknown;2023-10-23;2024-01-02;;;unknown;unknown;(48.872387, 2.343063)
226;La P'tite Débrouille;Les Enfants du Paradis;Du 28 septembre 2023 au 6 janvier 2024;34 rue Richer;Paris 9e;15-26 €;2023-09-28;2024-01-06;15.0;26.0;;20.5;(48.874091, 2.344527)
227;Invisibili;Théâtre de la Ville - Les Abbesses;Du 5 janvier 2024 au 20 janvier 2024;31 rue des Abbesses;Paris 18e;unknown;2024-01-05;2024-01-20;;;unknown;unknown;(48.884815, 2.337381)
228;Le Consentement;Théâtre du Rond-Point;Du 7 mars 2024 au 6 avril 2024;2 bis avenue Franklin-Roosevelt;Paris 8e;34 €;2024-03-07;2024-04-06;;;34.0;34.0;(48.867784, 2.310549)
229;Les Bonshommes ou comment vraiment s'en débarrasser;Théâtre du Gymnase;Du 15 octobre 2023 au 31 décembre 2023;38 boulevard de Bonne-Nouvelle;Paris 10e;16-22 €;2023-10-15;2023-12-31;16.0;22.0;;19.0;(48.870746, 2.348839)
