nom,heure,date,etablissement,prix,adresse,commune,geo
Winter Break,11:50,28/12,UGC CINE CITE LES HALLES,variable,101 RUE BERGER,Paris 1er Arrondissement,"48.861424,2.345829"
Winter Break,14:40,28/12,UGC CINE CITE LES HALLES,variable,101 RUE BERGER,Paris 1er Arrondissement,"48.861424,2.345829"
Winter Break,17:35,28/12,UGC CINE CITE LES HALLES,variable,101 RUE BERGER,Paris 1er Arrondissement,"48.861424,2.345829"
Winter Break,20:30,28/12,UGC CINE CITE LES HALLES,variable,101 RUE BERGER,Paris 1er Arrondissement,"48.861424,2.345829"
Hunger Games: la Ballade du serpent et de l'oiseau chanteur,10:40,28/12,UGC CINE CITE LES HALLES,variable,101 RUE BERGER,Paris 1er Arrondissement,"48.861424,2.345829"
Hunger Games: la Ballade du serpent et de l'oiseau chanteur,14:00,28/12,UGC CINE CITE LES HALLES,variable,101 RUE BERGER,Paris 1er Arrondissement,"48.861424,2.345829"
Hunger Games: la Ballade du serpent et de l'oiseau chanteur,17:20,28/12,UGC CINE CITE LES HALLES,variable,101 RUE BERGER,Paris 1er Arrondissement,"48.861424,2.345829"
Hunger Games: la Ballade du serpent et de l'oiseau chanteur,20:40,28/12,UGC CINE CITE LES HALLES,variable,101 RUE BERGER,Paris 1er Arrondissement,"48.861424,2.345829"
Vermines,09:15,28/12,UGC CINE CITE LES HALLES,variable,101 RUE BERGER,Paris 1er Arrondissement,"48.861424,2.345829"
Vermines,11:35,28/12,UGC CINE CITE LES HALLES,variable,101 RUE BERGER,Paris 1er Arrondissement,"48.861424,2.345829"
Vermines,14:00,28/12,UGC CINE CITE LES HALLES,variable,101 RUE BERGER,Paris 1er Arrondissement,"48.861424,2.345829"
Vermines,16:30,28/12,UGC CINE CITE LES HALLES,variable,101 RUE BERGER,Paris 1er Arrondissement,"48.861424,2.345829"
Vermines,19:00,28/12,UGC CINE CITE LES HALLES,variable,101 RUE BERGER,Paris 1er Arrondissement,"48.861424,2.345829"
Vermines,21:25,28/12,UGC CINE CITE LES HALLES,variable,101 RUE BERGER,Paris 1er Arrondissement,"48.861424,2.345829"
L'Innocence,09:15,28/12,UGC CINE CITE LES HALLES,variable,101 RUE BERGER,Paris 1er Arrondissement,"48.861424,2.345829"
L'Innocence,12:00,28/12,UGC CINE CITE LES HALLES,variable,101 RUE BERGER,Paris 1er Arrondissement,"48.861424,2.345829"
L'Innocence,14:50,28/12,UGC CINE CITE LES HALLES,variable,101 RUE BERGER,Paris 1er Arrondissement,"48.861424,2.345829"
L'Innocence,17:40,28/12,UGC CINE CITE LES HALLES,variable,101 RUE BERGER,Paris 1er Arrondissement,"48.861424,2.345829"
L'Innocence,20:30,28/12,UGC CINE CITE LES HALLES,variable,101 RUE BERGER,Paris 1er Arrondissement,"48.861424,2.345829"
Une équipe de rêve,16:10,28/12,UGC CINE CITE LES HALLES,variable,101 RUE BERGER,Paris 1er Arrondissement,"48.861424,2.345829"
